% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'regarding uncertainty', 'rates dollar', 'VBG NN', 'NNS NN', 'money paid for the use of money'
'investor currency', 'directed toward', 'NN NN', 'VBN IN', 'readiness to give attention'
'investor said', 'focused defensive', 'NN VBD', 'VBN JJ', 'readiness to give attention'
'changes price', 'income', 'NNS NN', 'NN', 'money paid for the use of money'
'Xs company', 'expense exceeds', 'POS NN', 'NN VBZ', 'money paid for the use of money'
'signal incX', 'helping revive', 'VB NP', 'VBG VB', 'readiness to give attention'
'% 20', 'chain january', 'NN AB', 'NN NP', 'a share in a company or business'
'unspecified pursue', 'move news', 'JJ VB', 'NN NN', 'activity, etc. that one gives attention to'
'cited also', 'costs amortization', 'VBD RB', 'NNS NN', 'money paid for the use of money'
'decline toward', 'rates', 'NN IN', 'NNS', 'money paid for the use of money'
'family mcalpine', '$ 1', 'NN NP', 'NN AB', 'a share in a company or business'
'fluctuation dramatic', 'rates association', 'NN JJ', 'NNS NN', 'money paid for the use of money'
'short-term cut', 'rates due', 'JJ VB', 'NNS JJ', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'best Xs', 'company Xs', 'JJS POS', 'NN POS', 'advantage, advancement or favor'
'announcement 19', 'minority stake', 'NN AB', 'NN NN', 'readiness to give attention'
'high buffeted', 'rates slowing', 'JJ VBN', 'NNS VBG', 'money paid for the use of money'
'pursue going', 'mrX jahn', 'VB VBG', 'NP NP', 'activity, etc. that one gives attention to'
'investor attract', 'remained sluggish', 'NN VB', 'VBD JJ', 'readiness to give attention'
'domestic said', 'rates likely', 'JJ VBD', 'NNS JJ', 'money paid for the use of money'
'short-term direction', 'rates treasury', 'JJ NN', 'NNS NP', 'money paid for the use of money'
'market', 'rates move', 'NN', 'NNS VBP', 'money paid for the use of money'
'also neave', 'packaging beer', 'RB NP', 'NN NN', 'a share in a company or business'
'levels Xs', 'coverage internal', 'NNS POS', 'NN JJ', 'money paid for the use of money'
'lower call', 'rates 60', 'JJR VB', 'NNS AB', 'money paid for the use of money'
'bring inflation', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'average', 'rate rose', 'JJ', 'NN VBD', 'money paid for the use of money'
'little showed', 'impression federal', 'JJ VBD', 'NN JJ', 'readiness to give attention'
'quick took', 'mrX stoll', 'JJ VBD', 'NP NP', 'readiness to give attention'
'higher', 'rates paid', 'JJR', 'NNS VBN', 'money paid for the use of money'
'timber swap', 'result $', 'NN NN', 'VB NN', 'a share in a company or business'
'owed banks', 'october negotiations', 'VBD NNS', 'NP NNS', 'money paid for the use of money'
'healthvest stake', 'certain facilities', 'NP NN', 'JJ NNS', 'a share in a company or business'
'illegal secret', 'beer distributorship', 'JJ JJ', 'NN NN', 'a share in a company or business'
'ownership hidden', 'real estate', 'NN JJ', 'JJ NN', 'a share in a company or business'
'lowered loan', 'rate accepted', 'VBD NN', 'NN VBD', 'money paid for the use of money'
'complain wrote', 'paying unsecured', 'VB VBD', 'VBG JJ', 'money paid for the use of money'
'true %', 'cost', 'JJ NN', 'NN', 'money paid for the use of money'
'true %', 'cost', 'JJ NN', 'NN', 'money paid for the use of money'
'', 'bonds treated', '', 'NNS VBN', 'money paid for the use of money'
'downturn big', 'rates years', 'NN JJ', 'NNS NNS', 'money paid for the use of money'
'investor drum', 'mortgage securities', 'NN VB', 'NN NNS', 'readiness to give attention'
'', 'great deal', '', 'JJ NN', 'readiness to give attention'
'drive help', 'rates mortgage', 'VB VB', 'NNS NN', 'money paid for the use of money'
'pay securities', 'monthly since', 'VBP NNS', 'RB IN', 'money paid for the use of money'
'long-term pursue', 'corporation', 'JJ VB', 'NN', 'advantage, advancement or favor'
'company holding', 'manufacturing concerns', 'NN VBG', 'VBG NNS', 'a share in a company or business'
'growing despite', 'environment uXsX', 'VBG IN', 'NN NP', 'readiness to give attention'
'much shown', 'refillable packages', 'JJ VBN', 'JJ NNS', 'readiness to give attention'
'pay', '115 months', 'VBP', 'AB NNS', 'money paid for the use of money'
'eases reserve', 'rates', 'VBZ NP', 'NNS', 'money paid for the use of money'
'narrowing pressured', 'rate differentials', 'NN VBN', 'NN NNS', 'money paid for the use of money'
'short-term relaxed', 'rates knocking', 'JJ VBD', 'NNS VBG', 'money paid for the use of money'
'uXsX lower', 'rates signs', 'NP JJR', 'NNS NNS', 'money paid for the use of money'
'rises value', 'rates decline', 'VBZ NN', 'NNS VBP', 'money paid for the use of money'
'uXsX expects', 'rates decline', 'NP VBZ', 'NNS VB', 'money paid for the use of money'
'german west', 'rates said', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'uXsX trend', 'rates shaky', 'NP NN', 'NNS JJ', 'money paid for the use of money'
'Xs corpX', 'rate options', 'POS NP', 'NN NNS', 'money paid for the use of money'
'swaps including', 'rate options', 'NNS VBG', 'NN NNS', 'money paid for the use of money'
'problems different', 'rate options', 'NNS JJ', 'NN NNS', 'money paid for the use of money'
'envision failed', 'rate environment', 'VB VBD', 'NN NN', 'money paid for the use of money'
'involving incidents', 'rate options', 'VBG NNS', 'NN NNS', 'money paid for the use of money'
'', 'rate options', '', 'NN NNS', 'money paid for the use of money'
'Xs chemical', 'rate options', 'POS NP', 'NN NNS', 'money paid for the use of money'
'Xs chemical', 'rate options', 'POS NP', 'NN NNS', 'money paid for the use of money'
'finding afl-cio', 'unlikely quarter', 'VBG NP', 'JJ NN', 'readiness to give attention'
'corporate new', 'health-care overhaul', 'JJ JJ', 'NN NN', 'readiness to give attention'
'eases reserve', 'rates soon', 'VBZ NP', 'NNS RB', 'money paid for the use of money'
'minority payments', 'surged 188', 'NN NNS', 'VBD AB', 'a share in a company or business'
'minority payments', 'revenue 50', 'NN NNS', 'NN AB', 'a share in a company or business'
'', 'rate sensitives', '', 'NN NNS', 'money paid for the use of money'
'outlook immediate', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'spectrum broad', 'congress administration', 'NN JJ', 'NP NN', 'activity, etc. that one gives attention to'
'net-profits %', 'certain oil', 'JJ NN', 'JJ NN', 'a share in a company or business'
'carries loan', 'rate prime', 'VBZ NN', 'NN JJ', 'money paid for the use of money'
'% 20', 'real estate', 'NN AB', 'JJ NN', 'a share in a company or business'
'minority tax', 'extraordinary items', 'NN NN', 'JJ NNS', 'a share in a company or business'
'million 18', 'saudi european', 'AB AB', 'NP NP', 'a share in a company or business'
'general pretty', 'stocks latest', 'JJ RB', 'NNS JJS', 'readiness to give attention'
'projects ogden', 'solid-waste recovery', 'NPS NP', 'NN NN', 'a share in a company or business'
'also corpX', 'building maintenance', 'RB NP', 'NN NN', 'a share in a company or business'
'Xs phelan', 'building electronic', 'POS NN', 'VBG JJ', 'activity, etc. that one gives attention to'
'lower reserve', 'rates', 'VB NP', 'NNS', 'money paid for the use of money'
'trough pinpoint', 'rate cycles', 'NN VB', 'JJ NNS', 'money paid for the use of money'
'raised reserve', 'rates ibm', 'VBD NP', 'NNS NP', 'money paid for the use of money'
'speculation due', 'rates rise', 'NN RB', 'NNS VB', 'money paid for the use of money'
'higher sign', 'rates possible', 'JJR NN', 'NNS JJ', 'money paid for the use of money'
'revived clearly', 'gold utility', 'VBN RB', 'NN NN', 'readiness to give attention'
'short-term lower', 'rates next', 'JJ JJR', 'NNS JJ', 'money paid for the use of money'
'growing underlined', 'british concern', 'VBG VBD', 'JJ NN', 'readiness to give attention'
'lower expectation', 'rates made', 'JJR NN', 'NNS VBD', 'money paid for the use of money'
'show days', 'public office', 'VB NNS', 'JJ NN', 'readiness to give attention'
'sell plans', '', 'VB NNS', '', 'a share in a company or business'
'family rockefeller', '', 'NN NP', '', 'a share in a company or business'
'buying attracted', 'however jones', 'NN VBD', 'RB NP', 'readiness to give attention'
'realization', 'rates firm', 'NN', 'NNS JJ', 'money paid for the use of money'
'slowing revenues', 'rates longer', 'VBG NNS', 'NNS RB', 'money paid for the use of money'
'international due', 'rate differentials', 'JJ RB', 'NN NNS', 'money paid for the use of money'
'foreign-investor inspire', '', 'NN VB', '', 'readiness to give attention'
'annual %', 'rate approved', 'JJ NN', 'NN VBN', 'money paid for the use of money'
'short-term', 'rates rose', 'JJ', 'NNS VBD', 'money paid for the use of money'
'auction bill', 'rate 8X07', 'NN NN', 'NN AB', 'money paid for the use of money'
'reset forced', 'rate senior', 'VB VBN', 'NN JJ', 'money paid for the use of money'
'annual Xs', 'payments $', 'JJ POS', 'NNS NN', 'money paid for the use of money'
'arouses anything', 'first glance', 'VBZ NN', 'JJ NN', 'readiness to give attention'
'bit detected', 'golf positive', 'NN VBD', 'NN JJ', 'readiness to give attention'
'increases indirectly', 'rates charged', 'VBZ RB', 'NNS VBN', 'money paid for the use of money'
'suspended debt', 'payments last', 'VBD NN', 'NNS JJ', 'money paid for the use of money'
'personal families', 'says john', 'JJ NNS', 'VBZ NP', 'activity, etc. that one gives attention to'
'much generated', 'nyu host', 'JJ VBN', 'NP NN', 'readiness to give attention'
'investor', 'stock funds', 'NN', 'NN NNS', 'readiness to give attention'
'western', 'see mrX', 'JJ', 'VB NP', 'advantage, advancement or favor'
'expression simply', 'chapter 11', 'NN RB', 'NP AB', 'readiness to give attention'
'preserve community', 'probably restricting', 'VB NN', 'RB VBG', 'advantage, advancement or favor'
'books Xs', 'charges new', 'NNS POS', 'VBZ NP', 'money paid for the use of money'
'may experience', 'cbs incX', 'MD NN', 'NP NP', 'quality of causing attention to be given to'
'', 'instead decreased', '', 'RB VBD', 'readiness to give attention'
'', 'waned day', '', 'VBD NN', 'readiness to give attention'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'annualized', 'rates certain', 'VBN', 'NNS JJ', 'money paid for the use of money'
'annual %', 'set come', 'JJ NN', 'VBN VB', 'money paid for the use of money'
'lower paying', '', 'JJR VBG', '', 'money paid for the use of money'
'allowed provisions', 'rate raised', 'VBD NNS', 'NN VBN', 'money paid for the use of money'
'paying note', 'rate starting', 'VBG NN', 'NN VBG', 'money paid for the use of money'
'million 48', 'payments reset', 'AB AB', 'NNS NN', 'money paid for the use of money'
'lower said', 'rate debt', 'VB VBD', 'NN NN', 'money paid for the use of money'
'protect acting', 'shareholder navigation', 'VB VBG', 'NN NP', 'advantage, advancement or favor'
'protect acting', 'ties navigation', 'VB VBG', 'VBZ NP', 'a share in a company or business'
'gas oil', 'amoco corpX', 'NN NN', 'NP NP', 'a share in a company or business'
'summer spring', 'rates dipped', 'NN NN', 'NNS VBD', 'money paid for the use of money'
'already products', 'tissue businesses', 'RB NNS', 'NN NNS', 'a share in a company or business'
'british high', 'rates', 'JJ JJ', 'NNS', 'money paid for the use of money'
'higher even', 'rates nXt', 'JJR RB', 'NNS RB', 'money paid for the use of money'
'% 51', 'mitsubishi estate', 'NN AB', 'NP NP', 'a share in a company or business'
'% 10', 'new company', 'NN AB', 'JJ NN', 'a share in a company or business'
'reduce offer', 'payments', 'VB NN', 'NNS', 'money paid for the use of money'
'resolved dangerous', 'national security', 'VBN JJ', 'JJ NN', 'advantage, advancement or favor'
'business pursue', 'airline said', 'NN VB', 'NN VBD', 'activity, etc. that one gives attention to'
'took pANDg', 'ordered two', 'VBD NP', 'VBD AB', 'readiness to give attention'
'', 'emigration investment', '', 'NN NN', 'readiness to give attention'
'net', 'income third', 'JJ', 'NN JJ', 'money paid for the use of money'
'years 34', 'rate 8', 'NNS AB', 'NN AB', 'money paid for the use of money'
'fees legal', 'driven value', 'NNS JJ', 'VBN NN', 'money paid for the use of money'
'cost after-tax', 'bonds higher', 'NN JJ', 'NNS JJR', 'money paid for the use of money'
'shown enquirer', '', 'VBN NP', '', 'readiness to give attention'
'high impervious', 'rates mrX', 'JJ JJ', 'NNS NP', 'money paid for the use of money'
'high requirements', 'rates less', 'JJ NNS', 'NNS RBR', 'money paid for the use of money'
'aggregates neither', 'rates', 'NNS DT', 'NNS', 'money paid for the use of money'
'time leaving', 'outside office', 'NN VBG', 'IN NN', 'activity, etc. that one gives attention to'
'earnings Xs', 'taxes depreciation', 'NNS POS', 'NNS NN', 'money paid for the use of money'
'earnings businesses', 'taxes depreciation', 'NNS NNS', 'NNS NN', 'money paid for the use of money'
'real-estate basis', '', 'NN NN', '', 'a share in a company or business'
'million 100', 'every quarter', 'AB AB', 'DT NN', 'money paid for the use of money'
'long-term said', 'rates 9', 'JJ VBD', 'NNS AB', 'money paid for the use of money'
'believe people', 'rates nosedive', 'VBP NNS', 'NNS JJ', 'money paid for the use of money'
'expected better', 'rates generally', 'VBD RB', 'NNS RB', 'money paid for the use of money'
'pushed policy', 'rates 15', 'VBD NN', 'NNS AB', 'money paid for the use of money'
'mortgage doubled', 'rates many', 'NN VBD', 'NNS JJ', 'money paid for the use of money'
'high inflation', 'rates -', 'JJ NN', 'NNS ?', 'money paid for the use of money'
'high response', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'falls currency', 'rates raised', 'VBZ NN', 'NNS VBN', 'money paid for the use of money'
'coal australian', '$ 275', 'NN JJ', 'NN AB', 'a share in a company or business'
'great overseas', 'games skill', 'JJ RB', 'NNS NN', 'readiness to give attention'
'time first', 'paid public', 'NN JJ', 'VBN JJ', 'money paid for the use of money'
'accrued', 'refund $', 'VBN', 'NN NN', 'money paid for the use of money'
'refunds income-tax', 'court ruling', 'NNS JJ', 'NN VBG', 'money paid for the use of money'
'equity %', 'partner metromedia', 'NN NN', 'NN NP', 'a share in a company or business'
'cover sufficient', 'payments debt', 'VB JJ', 'NNS NN', 'money paid for the use of money'
'controlling %', '', 'VBG NN', '', 'a share in a company or business'
'% 50', 'new cellular', 'NN AB', 'JJ JJ', 'a share in a company or business'
'public well', 'served bell', 'JJ RB', 'VBN NP', 'advantage, advancement or favor'
'buying substantial', '', 'NN JJ', '', 'readiness to give attention'
'high inflation', 'rates heavy', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'move authorities', 'rates', 'VBP NNS', 'NNS', 'money paid for the use of money'
'coX trust', 'rates irving', 'NP NP', 'NNS NP', 'money paid for the use of money'
'less paying', 'promised marketing', 'JJR VBG', 'VBN NN', 'money paid for the use of money'
'funds federal', 'rate largely', 'NNS JJ', 'NN RB', 'money paid for the use of money'
'public innovation', '', 'JJ NN', '', 'advantage, advancement or favor'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'little maneuver', 'outside washington', 'JJ NN', 'IN NP', 'quality of causing attention to be given to'
'much republicans', 'democrats way', 'JJ NPS', 'NPS NN', 'readiness to give attention'
'behind million', 'payments', 'RB AB', 'NNS', 'money paid for the use of money'
'% 14', 'rate', 'NN AB', 'NN', 'money paid for the use of money'
'banks government-controlled', 'rates prime', 'NNS JJ', 'NNS JJ', 'money paid for the use of money'
'best says', 'cbs news', 'JJS VBZ', 'NP NP', 'advantage, advancement or favor'
'obligations debt', 'expense', 'NNS NN', 'NN', 'money paid for the use of money'
'cash reduced', '', 'NN JJ', '', 'money paid for the use of money'
'controlling represent', 'company', 'VBG VB', 'NN', 'a share in a company or business'
'investor light', 'metals', 'NN JJ', 'NNS', 'readiness to give attention'
'effective addition', 'rate $', 'JJ NN', 'NN NN', 'money paid for the use of money'
'million 4', 'expenses next', 'AB AB', 'NNS IN', 'money paid for the use of money'
'time risen', 'rates generally', 'NN VBN', 'NNS RB', 'money paid for the use of money'
'decline relative', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'much nXt', '', 'JJ RB', '', 'readiness to give attention'
'showing advertisers', '', 'VBG NNS', '', 'readiness to give attention'
'municipal-bond Xs', 'exempt federal', 'JJ VBZ', 'JJ JJ', 'money paid for the use of money'
'prevailing year', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'make order', 'rates decline', 'VB NN', 'NNS VB', 'money paid for the use of money'
'losses even', 'rates rise', 'NNS JJ', 'NNS VBP', 'money paid for the use of money'
'', 'rates nXt', '', 'NNS RB', 'money paid for the use of money'
'', 'rate guaranteed', '', 'NN VBN', 'money paid for the use of money'
'% 8X8', 'one year', 'NN AB', 'AB NN', 'money paid for the use of money'
'market track', 'rates slight', 'NN VBP', 'NNS JJ', 'money paid for the use of money'
'national needs', 'words justified', 'JJ NNS', 'NNS JJ', 'advantage, advancement or favor'
'threats neutralizes', 'manner consistent', 'NNS VBZ', 'NN JJ', 'advantage, advancement or favor'
'uXsX lower', 'rates continue', 'NP JJR', 'NNS VBP', 'money paid for the use of money'
'uXsX decline', 'rates diminished', 'NP NN', 'NNS VBN', 'money paid for the use of money'
'british high', 'rates said', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'buying strong', 'yen another', 'NN JJ', 'NN DT', 'readiness to give attention'
'X investors', 'buying dollars', 'POS NNS', 'VBG NNS', 'readiness to give attention'
'giant', 'cement making', 'NN', 'NN NN', 'a share in a company or business'
'accrued plus', 'date redemption', 'JJ CC', 'NN NN', 'money paid for the use of money'
'stake major', 'rates move', 'NN JJ', 'NNS VBP', 'money paid for the use of money'
'predict difficult', 'rates colony', 'VB JJ', 'NNS NN', 'money paid for the use of money'
'gas oil', 'sale earlier', 'NN NN', 'NN RBR', 'a share in a company or business'
'unit norwegian', 'ranging 10', 'NN JJ', 'VBG AB', 'a share in a company or business'
'', 'first year', '', 'JJ NN', 'money paid for the use of money'
'thereafter', 'paid annually', 'RB', 'VBN RB', 'money paid for the use of money'
'represent 1989', 'trust fund', 'VB AB', 'NN NN', 'a share in a company or business'
'half get', 'oil', 'NN VB', 'NN', 'a share in a company or business'
'brewing half', '', 'NN PDT', '', 'a share in a company or business'
'public mean', '', 'JJ VB', '', 'advantage, advancement or favor'
'instruments financial', 'rate swaps', 'NNS JJ', 'NN NNS', 'money paid for the use of money'
'read', 'robert tomsho', 'VBP', 'NP NP', 'readiness to give attention'
'', 'taken heart', '', 'VBN NN', 'advantage, advancement or favor'
'intellectual similar', '', 'JJ JJ', '', 'activity, etc. that one gives attention to'
'spurring standards', 'lighter alternative', 'VBG NNS', 'JJR JJ', 'readiness to give attention'
'fat year', 'payments barely', 'JJ NN', 'NNS RB', 'money paid for the use of money'
'high supports', 'rates keep', 'JJ VBZ', 'NNS VB', 'money paid for the use of money'
'said company', 'debt fall', 'VBD NN', 'NN VB', 'money paid for the use of money'
'base %', 'rates highest', 'NN NN', 'NNS JJS', 'money paid for the use of money'
'charging convicted', 'rates much', 'VBG VBN', 'NNS RB', 'money paid for the use of money'
'', 'rates charge', '', 'NNS VBP', 'money paid for the use of money'
'whose company', 'include insurance', 'WP NN', 'VBP NN', 'a share in a company or business'
'year million', 'expense', 'NN AB', 'NN', 'money paid for the use of money'
'periodic notes', 'payments', 'JJ NNS', 'NNS', 'money paid for the use of money'
'Xs saks', 'idea', 'POS NP', 'NN', 'readiness to give attention'
'lower reserve', 'rates coming', 'VB NP', 'NNS JJ', 'money paid for the use of money'
'variable loans', 'rates currently', 'JJ NNS', 'NNS RB', 'money paid for the use of money'
'semiannual make', 'payment $', 'JJ VB', 'NN NN', 'money paid for the use of money'
'missed nearly', 'payment junk', 'VBD RB', 'NN NN', 'money paid for the use of money'
'dispose first', 'britain Xs', 'VB RB', 'NP POS', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'sale million', 'computerized reservations', 'NN AB', 'JJ NNS', 'a share in a company or business'
'covia sale', '', 'NP NN', '', 'a share in a company or business'
'company illX', 'fashion jewelry', 'NN NP', 'NN NN', 'a share in a company or business'
'revive sure', 'matter capitol', 'VB JJ', 'NN NP', 'readiness to give attention'
'plus 6,250,000', 'highest lawful', 'CC AB', 'JJS JJ', 'money paid for the use of money'
'lower loans', 'rates possibly', 'JJR NNS', 'NNS RB', 'money paid for the use of money'
'bring event', 'rate', 'VB NN', 'NN', 'money paid for the use of money'
'accrued billion', 'year amounts', 'JJ AB', 'NN NNS', 'money paid for the use of money'
'fix rjr', 'rates $', 'VB NP', 'NNS NN', 'money paid for the use of money'
'accrued excluding', '- rjr', 'JJ VBG', '? NP', 'money paid for the use of money'
'X bonds', 'rates high', 'POS NNS', 'VBZ RB', 'money paid for the use of money'
'fixing require', 'rate high', 'VBG VB', 'NN JJ', 'money paid for the use of money'
'accrue continue', 'paper mid-1990s', 'VB VB', 'NN NNS', 'money paid for the use of money'
'fix forced', 'rate get', 'VB VBN', 'NN VB', 'money paid for the use of money'
'also brunswick', 'defense aerospace', 'RB NP', 'NN JJ', 'a share in a company or business'
'investor enhanced', 'precious metals', 'NN JJ', 'JJ NNS', 'readiness to give attention'
'investor create', 'precious metals', 'NN VB', 'JJ NNS', 'readiness to give attention'
'', 'lacking long', '', 'JJ JJ', 'readiness to give attention'
'open increasing', 'declining prices', 'JJ VBG', 'VBG NNS', 'a share in a company or business'
'open', 'number outstanding', 'JJ', 'NN JJ', 'a share in a company or business'
'overdue pay', 'still-outstanding loans', 'JJ VB', 'JJ NNS', 'money paid for the use of money'
'properties owned', 'mortgages hit', 'NNS VBN', 'NNS VBN', 'money paid for the use of money'
'high inflation', 'materials costs', 'JJ NN', 'NNS NNS', 'money paid for the use of money'
'voting hunter', '20 %', 'NN NP', 'AB NN', 'a share in a company or business'
'uXkX increase', 'rates pound', 'NP VB', 'NNS NN', 'money paid for the use of money'
'taxes escape', 'sum earns', 'NNS VB', 'NN VBZ', 'money paid for the use of money'
'including 1988', 'past contributions', 'VBG AB', 'JJ NNS', 'money paid for the use of money'
'4,773 $', 'withdrawn taxfree', 'AB NN', 'VBN JJ', 'money paid for the use of money'
'tax deferring', 'contributions earn', 'NN VBG', 'NNS VBP', 'money paid for the use of money'
'allowing', 'buildup contributions', 'VBG', 'NN NNS', 'money paid for the use of money'
'minority payments', '', 'NN NNS', '', 'a share in a company or business'
'little showed', 'buying securities', 'JJ VBN', 'VBG NNS', 'readiness to give attention'
'separating created', 'payment portion', 'VBG VBN', 'NN NN', 'money paid for the use of money'
'pay securities', 'maturity return', 'VBP NNS', 'NN NN', 'money paid for the use of money'
'economic strategic', '', 'JJ JJ', '', 'advantage, advancement or favor'
'economy soviet', 'lies controlled', 'NN JJ', 'VBZ VBN', 'advantage, advancement or favor'
'keen takes', 'monetary matters', 'JJ VBZ', 'JJ NNS', 'readiness to give attention'
'keen especially', 'board matters', 'JJ RB', 'NN NNS', 'readiness to give attention'
'lower toward', 'rates', 'JJR IN', 'NNS', 'money paid for the use of money'
'let fed', 'rates slip', 'VBN NP', 'NNS VBP', 'money paid for the use of money'
'bronfman shares', 'hold 24', 'NP NNS', 'VBP AB', 'a share in a company or business'
'free-speech circumstances', 'outweighed *interest', 'NN NNS', 'VBD NNS', 'advantage, advancement or favor'
'outweighed *interest', 'copyright owner', 'VBD NNS', 'NN NN', 'advantage, advancement or favor'
'public argument', 'scholarship outweigh', 'JJ NN', 'NN VB', 'advantage, advancement or favor'
'public recognized', 'subject matter', 'JJ VBN', 'JJ NN', 'readiness to give attention'
'tailored bill', 'single individual', 'VBN NN', 'JJ NN', 'advantage, advancement or favor'
'dividend represents', 'hughes earnings', 'NN VBZ', 'NP NNS', 'a share in a company or business'
'dividend represents', 'eds profit', 'NN VBZ', 'NP NN', 'a share in a company or business'
'including payment', 'secured creditors', 'VBG NN', 'VBN NNS', 'money paid for the use of money'
'credits full', '$ 855', 'NNS JJ', 'NN AB', 'money paid for the use of money'
'payments million', 'since', 'NNS AB', 'IN', 'money paid for the use of money'
'unpaid accrued', 'equal $', 'JJ VBN', 'JJ NN', 'money paid for the use of money'
'X creditors', 'accrued since', 'POS NNS', 'VBN IN', 'money paid for the use of money'
'much aroused', 'congress mainly', 'JJ VBN', 'NP RB', 'readiness to give attention'
'plenty drew', 'uXsX auto', 'RB VBD', 'NP NN', 'readiness to give attention'
'cut reluctance', 'rates pull', 'VB NN', 'NNS VB', 'money paid for the use of money'
