% File: interest_2-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'market', 'rates move', 'NN', 'NNS VBP', 'money paid for the use of money'
'neave also', 'packaging beer', 'NP RB', 'NN NN', 'a share in a company or business'
'Xs levels', 'coverage internal', 'POS NNS', 'NN JJ', 'money paid for the use of money'
'call lower', 'rates 60', 'VB JJR', 'NNS AB', 'money paid for the use of money'
'inflation bring', 'rates', 'NN VB', 'NNS', 'money paid for the use of money'
'average', 'rate rose', 'JJ', 'NN VBD', 'money paid for the use of money'
'showed little', 'impression federal', 'VBD JJ', 'NN JJ', 'readiness to give attention'
'took quick', 'mrX stoll', 'VBD JJ', 'NP NP', 'readiness to give attention'
'higher', 'rates paid', 'JJR', 'NNS VBN', 'money paid for the use of money'
'swap timber', 'result $', 'NN NN', 'VB NN', 'a share in a company or business'
'banks owed', 'october negotiations', 'NNS VBD', 'NP NNS', 'money paid for the use of money'
'stake healthvest', 'certain facilities', 'NN NP', 'JJ NNS', 'a share in a company or business'
'secret illegal', 'beer distributorship', 'JJ JJ', 'NN NN', 'a share in a company or business'
'hidden ownership', 'real estate', 'JJ NN', 'JJ NN', 'a share in a company or business'
'loan lowered', 'rate accepted', 'NN VBD', 'NN VBD', 'money paid for the use of money'
'wrote complain', 'paying unsecured', 'VBD VB', 'VBG JJ', 'money paid for the use of money'
'% true', 'cost', 'NN JJ', 'NN', 'money paid for the use of money'
'% true', 'cost', 'NN JJ', 'NN', 'money paid for the use of money'
'', 'bonds treated', '', 'NNS VBN', 'money paid for the use of money'
'big downturn', 'rates years', 'JJ NN', 'NNS NNS', 'money paid for the use of money'
'drum investor', 'mortgage securities', 'VB NN', 'NN NNS', 'readiness to give attention'
'', 'great deal', '', 'JJ NN', 'readiness to give attention'
'help drive', 'rates mortgage', 'VB VB', 'NNS NN', 'money paid for the use of money'
'securities pay', 'monthly since', 'NNS VBP', 'RB IN', 'money paid for the use of money'
'pursue long-term', 'corporation', 'VB JJ', 'NN', 'advantage, advancement or favor'
'holding company', 'manufacturing concerns', 'VBG NN', 'VBG NNS', 'a share in a company or business'
'despite growing', 'environment uXsX', 'IN VBG', 'NN NP', 'readiness to give attention'
'shown much', 'refillable packages', 'VBN JJ', 'JJ NNS', 'readiness to give attention'
'pay', '115 months', 'VBP', 'AB NNS', 'money paid for the use of money'
'reserve eases', 'rates', 'NP VBZ', 'NNS', 'money paid for the use of money'
'pressured narrowing', 'rate differentials', 'VBN NN', 'NN NNS', 'money paid for the use of money'
'relaxed short-term', 'rates knocking', 'VBD JJ', 'NNS VBG', 'money paid for the use of money'
'lower uXsX', 'rates signs', 'JJR NP', 'NNS NNS', 'money paid for the use of money'
'value rises', 'rates decline', 'NN VBZ', 'NNS VBP', 'money paid for the use of money'
'expects uXsX', 'rates decline', 'VBZ NP', 'NNS VB', 'money paid for the use of money'
'west german', 'rates said', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'trend uXsX', 'rates shaky', 'NN NP', 'NNS JJ', 'money paid for the use of money'
'corpX Xs', 'rate options', 'NP POS', 'NN NNS', 'money paid for the use of money'
'including swaps', 'rate options', 'VBG NNS', 'NN NNS', 'money paid for the use of money'
'different problems', 'rate options', 'JJ NNS', 'NN NNS', 'money paid for the use of money'
'failed envision', 'rate environment', 'VBD VB', 'NN NN', 'money paid for the use of money'
'incidents involving', 'rate options', 'NNS VBG', 'NN NNS', 'money paid for the use of money'
'', 'rate options', '', 'NN NNS', 'money paid for the use of money'
'chemical Xs', 'rate options', 'NP POS', 'NN NNS', 'money paid for the use of money'
'chemical Xs', 'rate options', 'NP POS', 'NN NNS', 'money paid for the use of money'
'afl-cio finding', 'unlikely quarter', 'NP VBG', 'JJ NN', 'readiness to give attention'
'new corporate', 'health-care overhaul', 'JJ JJ', 'NN NN', 'readiness to give attention'
'reserve eases', 'rates soon', 'NP VBZ', 'NNS RB', 'money paid for the use of money'
'payments minority', 'surged 188', 'NNS NN', 'VBD AB', 'a share in a company or business'
'payments minority', 'revenue 50', 'NNS NN', 'NN AB', 'a share in a company or business'
'', 'rate sensitives', '', 'NN NNS', 'money paid for the use of money'
'immediate outlook', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'broad spectrum', 'congress administration', 'JJ NN', 'NP NN', 'activity, etc. that one gives attention to'
'% net-profits', 'certain oil', 'NN JJ', 'JJ NN', 'a share in a company or business'
'loan carries', 'rate prime', 'NN VBZ', 'NN JJ', 'money paid for the use of money'
'20 %', 'real estate', 'AB NN', 'JJ NN', 'a share in a company or business'
'tax minority', 'extraordinary items', 'NN NN', 'JJ NNS', 'a share in a company or business'
'18 million', 'saudi european', 'AB AB', 'NP NP', 'a share in a company or business'
'pretty general', 'stocks latest', 'RB JJ', 'NNS JJS', 'readiness to give attention'
'ogden projects', 'solid-waste recovery', 'NP NPS', 'NN NN', 'a share in a company or business'
'corpX also', 'building maintenance', 'NP RB', 'NN NN', 'a share in a company or business'
'phelan Xs', 'building electronic', 'NN POS', 'VBG JJ', 'activity, etc. that one gives attention to'
'reserve lower', 'rates', 'NP VB', 'NNS', 'money paid for the use of money'
'pinpoint trough', 'rate cycles', 'VB NN', 'JJ NNS', 'money paid for the use of money'
'reserve raised', 'rates ibm', 'NP VBD', 'NNS NP', 'money paid for the use of money'
'due speculation', 'rates rise', 'RB NN', 'NNS VB', 'money paid for the use of money'
'sign higher', 'rates possible', 'NN JJR', 'NNS JJ', 'money paid for the use of money'
'clearly revived', 'gold utility', 'RB VBN', 'NN NN', 'readiness to give attention'
'lower short-term', 'rates next', 'JJR JJ', 'NNS JJ', 'money paid for the use of money'
'underlined growing', 'british concern', 'VBD VBG', 'JJ NN', 'readiness to give attention'
'expectation lower', 'rates made', 'NN JJR', 'NNS VBD', 'money paid for the use of money'
'days show', 'public office', 'NNS VB', 'JJ NN', 'readiness to give attention'
'plans sell', '', 'NNS VB', '', 'a share in a company or business'
'rockefeller family', '', 'NP NN', '', 'a share in a company or business'
'attracted buying', 'however jones', 'VBD NN', 'RB NP', 'readiness to give attention'
'realization', 'rates firm', 'NN', 'NNS JJ', 'money paid for the use of money'
'revenues slowing', 'rates longer', 'NNS VBG', 'NNS RB', 'money paid for the use of money'
'due international', 'rate differentials', 'RB JJ', 'NN NNS', 'money paid for the use of money'
'inspire foreign-investor', '', 'VB NN', '', 'readiness to give attention'
'% annual', 'rate approved', 'NN JJ', 'NN VBN', 'money paid for the use of money'
'short-term', 'rates rose', 'JJ', 'NNS VBD', 'money paid for the use of money'
'bill auction', 'rate 8X07', 'NN NN', 'NN AB', 'money paid for the use of money'
'forced reset', 'rate senior', 'VBN VB', 'NN JJ', 'money paid for the use of money'
'Xs annual', 'payments $', 'POS JJ', 'NNS NN', 'money paid for the use of money'
'anything arouses', 'first glance', 'NN VBZ', 'JJ NN', 'readiness to give attention'
'detected bit', 'golf positive', 'VBD NN', 'NN JJ', 'readiness to give attention'
'indirectly increases', 'rates charged', 'RB VBZ', 'NNS VBN', 'money paid for the use of money'
'debt suspended', 'payments last', 'NN VBD', 'NNS JJ', 'money paid for the use of money'
'families personal', 'says john', 'NNS JJ', 'VBZ NP', 'activity, etc. that one gives attention to'
'generated much', 'nyu host', 'VBN JJ', 'NP NN', 'readiness to give attention'
'investor', 'stock funds', 'NN', 'NN NNS', 'readiness to give attention'
'western', 'see mrX', 'JJ', 'VB NP', 'advantage, advancement or favor'
'simply expression', 'chapter 11', 'RB NN', 'NP AB', 'readiness to give attention'
'community preserve', 'probably restricting', 'NN VB', 'RB VBG', 'advantage, advancement or favor'
'Xs books', 'charges new', 'POS NNS', 'VBZ NP', 'money paid for the use of money'
'experience may', 'cbs incX', 'NN MD', 'NP NP', 'quality of causing attention to be given to'
'', 'instead decreased', '', 'RB VBD', 'readiness to give attention'
'', 'waned day', '', 'VBD NN', 'readiness to give attention'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'annualized', 'rates certain', 'VBN', 'NNS JJ', 'money paid for the use of money'
'% annual', 'set come', 'NN JJ', 'VBN VB', 'money paid for the use of money'
'paying lower', '', 'VBG JJR', '', 'money paid for the use of money'
'provisions allowed', 'rate raised', 'NNS VBD', 'NN VBN', 'money paid for the use of money'
'note paying', 'rate starting', 'NN VBG', 'NN VBG', 'money paid for the use of money'
'48 million', 'payments reset', 'AB AB', 'NNS NN', 'money paid for the use of money'
'said lower', 'rate debt', 'VBD VB', 'NN NN', 'money paid for the use of money'
'acting protect', 'shareholder navigation', 'VBG VB', 'NN NP', 'advantage, advancement or favor'
'acting protect', 'ties navigation', 'VBG VB', 'VBZ NP', 'a share in a company or business'
'oil gas', 'amoco corpX', 'NN NN', 'NP NP', 'a share in a company or business'
'spring summer', 'rates dipped', 'NN NN', 'NNS VBD', 'money paid for the use of money'
'products already', 'tissue businesses', 'NNS RB', 'NN NNS', 'a share in a company or business'
'high british', 'rates', 'JJ JJ', 'NNS', 'money paid for the use of money'
'even higher', 'rates nXt', 'RB JJR', 'NNS RB', 'money paid for the use of money'
'51 %', 'mitsubishi estate', 'AB NN', 'NP NP', 'a share in a company or business'
'10 %', 'new company', 'AB NN', 'JJ NN', 'a share in a company or business'
'offer reduce', 'payments', 'NN VB', 'NNS', 'money paid for the use of money'
'dangerous resolved', 'national security', 'JJ VBN', 'JJ NN', 'advantage, advancement or favor'
'pursue business', 'airline said', 'VB NN', 'NN VBD', 'activity, etc. that one gives attention to'
'pANDg took', 'ordered two', 'NP VBD', 'VBD AB', 'readiness to give attention'
'', 'emigration investment', '', 'NN NN', 'readiness to give attention'
'net', 'income third', 'JJ', 'NN JJ', 'money paid for the use of money'
'34 years', 'rate 8', 'AB NNS', 'NN AB', 'money paid for the use of money'
'legal fees', 'driven value', 'JJ NNS', 'VBN NN', 'money paid for the use of money'
'after-tax cost', 'bonds higher', 'JJ NN', 'NNS JJR', 'money paid for the use of money'
'enquirer shown', '', 'NP VBN', '', 'readiness to give attention'
'impervious high', 'rates mrX', 'JJ JJ', 'NNS NP', 'money paid for the use of money'
'requirements high', 'rates less', 'NNS JJ', 'NNS RBR', 'money paid for the use of money'
'neither aggregates', 'rates', 'DT NNS', 'NNS', 'money paid for the use of money'
'leaving time', 'outside office', 'VBG NN', 'IN NN', 'activity, etc. that one gives attention to'
'Xs earnings', 'taxes depreciation', 'POS NNS', 'NNS NN', 'money paid for the use of money'
'businesses earnings', 'taxes depreciation', 'NNS NNS', 'NNS NN', 'money paid for the use of money'
'basis real-estate', '', 'NN NN', '', 'a share in a company or business'
'100 million', 'every quarter', 'AB AB', 'DT NN', 'money paid for the use of money'
'said long-term', 'rates 9', 'VBD JJ', 'NNS AB', 'money paid for the use of money'
'people believe', 'rates nosedive', 'NNS VBP', 'NNS JJ', 'money paid for the use of money'
'better expected', 'rates generally', 'RB VBD', 'NNS RB', 'money paid for the use of money'
'policy pushed', 'rates 15', 'NN VBD', 'NNS AB', 'money paid for the use of money'
'doubled mortgage', 'rates many', 'VBD NN', 'NNS JJ', 'money paid for the use of money'
'inflation high', 'rates -', 'NN JJ', 'NNS ?', 'money paid for the use of money'
'response high', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'currency falls', 'rates raised', 'NN VBZ', 'NNS VBN', 'money paid for the use of money'
'australian coal', '$ 275', 'JJ NN', 'NN AB', 'a share in a company or business'
'overseas great', 'games skill', 'RB JJ', 'NNS NN', 'readiness to give attention'
'first time', 'paid public', 'JJ NN', 'VBN JJ', 'money paid for the use of money'
'accrued', 'refund $', 'VBN', 'NN NN', 'money paid for the use of money'
'income-tax refunds', 'court ruling', 'JJ NNS', 'NN VBG', 'money paid for the use of money'
'% equity', 'partner metromedia', 'NN NN', 'NN NP', 'a share in a company or business'
'sufficient cover', 'payments debt', 'JJ VB', 'NNS NN', 'money paid for the use of money'
'% controlling', '', 'NN VBG', '', 'a share in a company or business'
'50 %', 'new cellular', 'AB NN', 'JJ JJ', 'a share in a company or business'
'well public', 'served bell', 'RB JJ', 'VBN NP', 'advantage, advancement or favor'
'substantial buying', '', 'JJ NN', '', 'readiness to give attention'
'inflation high', 'rates heavy', 'NN JJ', 'NNS JJ', 'money paid for the use of money'
'authorities move', 'rates', 'NNS VBP', 'NNS', 'money paid for the use of money'
'trust coX', 'rates irving', 'NP NP', 'NNS NP', 'money paid for the use of money'
'paying less', 'promised marketing', 'VBG JJR', 'VBN NN', 'money paid for the use of money'
'federal funds', 'rate largely', 'JJ NNS', 'NN RB', 'money paid for the use of money'
'innovation public', '', 'NN JJ', '', 'advantage, advancement or favor'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'maneuver little', 'outside washington', 'NN JJ', 'IN NP', 'quality of causing attention to be given to'
'republicans much', 'democrats way', 'NPS JJ', 'NPS NN', 'readiness to give attention'
'million behind', 'payments', 'AB RB', 'NNS', 'money paid for the use of money'
'14 %', 'rate', 'AB NN', 'NN', 'money paid for the use of money'
'government-controlled banks', 'rates prime', 'JJ NNS', 'NNS JJ', 'money paid for the use of money'
'says best', 'cbs news', 'VBZ JJS', 'NP NP', 'advantage, advancement or favor'
'debt obligations', 'expense', 'NN NNS', 'NN', 'money paid for the use of money'
'reduced cash', '', 'JJ NN', '', 'money paid for the use of money'
'represent controlling', 'company', 'VB VBG', 'NN', 'a share in a company or business'
'light investor', 'metals', 'JJ NN', 'NNS', 'readiness to give attention'
'addition effective', 'rate $', 'NN JJ', 'NN NN', 'money paid for the use of money'
'4 million', 'expenses next', 'AB AB', 'NNS IN', 'money paid for the use of money'
'risen time', 'rates generally', 'VBN NN', 'NNS RB', 'money paid for the use of money'
'relative decline', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'nXt much', '', 'RB JJ', '', 'readiness to give attention'
'advertisers showing', '', 'NNS VBG', '', 'readiness to give attention'
'Xs municipal-bond', 'exempt federal', 'VBZ JJ', 'JJ JJ', 'money paid for the use of money'
'year prevailing', 'rates', 'NN JJ', 'NNS', 'money paid for the use of money'
'order make', 'rates decline', 'NN VB', 'NNS VB', 'money paid for the use of money'
'even losses', 'rates rise', 'JJ NNS', 'NNS VBP', 'money paid for the use of money'
'', 'rates nXt', '', 'NNS RB', 'money paid for the use of money'
'', 'rate guaranteed', '', 'NN VBN', 'money paid for the use of money'
'8X8 %', 'one year', 'AB NN', 'AB NN', 'money paid for the use of money'
'track market', 'rates slight', 'VBP NN', 'NNS JJ', 'money paid for the use of money'
'needs national', 'words justified', 'NNS JJ', 'NNS JJ', 'advantage, advancement or favor'
'neutralizes threats', 'manner consistent', 'VBZ NNS', 'NN JJ', 'advantage, advancement or favor'
'lower uXsX', 'rates continue', 'JJR NP', 'NNS VBP', 'money paid for the use of money'
'decline uXsX', 'rates diminished', 'NN NP', 'NNS VBN', 'money paid for the use of money'
'high british', 'rates said', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'strong buying', 'yen another', 'JJ NN', 'NN DT', 'readiness to give attention'
'investors X', 'buying dollars', 'NNS POS', 'VBG NNS', 'readiness to give attention'
'giant', 'cement making', 'NN', 'NN NN', 'a share in a company or business'
'plus accrued', 'date redemption', 'CC JJ', 'NN NN', 'money paid for the use of money'
'major stake', 'rates move', 'JJ NN', 'NNS VBP', 'money paid for the use of money'
'difficult predict', 'rates colony', 'JJ VB', 'NNS NN', 'money paid for the use of money'
'oil gas', 'sale earlier', 'NN NN', 'NN RBR', 'a share in a company or business'
'norwegian unit', 'ranging 10', 'JJ NN', 'VBG AB', 'a share in a company or business'
'', 'first year', '', 'JJ NN', 'money paid for the use of money'
'thereafter', 'paid annually', 'RB', 'VBN RB', 'money paid for the use of money'
'1989 represent', 'trust fund', 'AB VB', 'NN NN', 'a share in a company or business'
'get half', 'oil', 'VB NN', 'NN', 'a share in a company or business'
'half brewing', '', 'PDT NN', '', 'a share in a company or business'
'mean public', '', 'VB JJ', '', 'advantage, advancement or favor'
'financial instruments', 'rate swaps', 'JJ NNS', 'NN NNS', 'money paid for the use of money'
'read', 'robert tomsho', 'VBP', 'NP NP', 'readiness to give attention'
'', 'taken heart', '', 'VBN NN', 'advantage, advancement or favor'
'similar intellectual', '', 'JJ JJ', '', 'activity, etc. that one gives attention to'
'standards spurring', 'lighter alternative', 'NNS VBG', 'JJR JJ', 'readiness to give attention'
'year fat', 'payments barely', 'NN JJ', 'NNS RB', 'money paid for the use of money'
'supports high', 'rates keep', 'VBZ JJ', 'NNS VB', 'money paid for the use of money'
'company said', 'debt fall', 'NN VBD', 'NN VB', 'money paid for the use of money'
'% base', 'rates highest', 'NN NN', 'NNS JJS', 'money paid for the use of money'
'convicted charging', 'rates much', 'VBN VBG', 'NNS RB', 'money paid for the use of money'
'', 'rates charge', '', 'NNS VBP', 'money paid for the use of money'
'company whose', 'include insurance', 'NN WP', 'VBP NN', 'a share in a company or business'
'million year', 'expense', 'AB NN', 'NN', 'money paid for the use of money'
'notes periodic', 'payments', 'NNS JJ', 'NNS', 'money paid for the use of money'
'saks Xs', 'idea', 'NP POS', 'NN', 'readiness to give attention'
'reserve lower', 'rates coming', 'NP VB', 'NNS JJ', 'money paid for the use of money'
'loans variable', 'rates currently', 'NNS JJ', 'NNS RB', 'money paid for the use of money'
'make semiannual', 'payment $', 'VB JJ', 'NN NN', 'money paid for the use of money'
'nearly missed', 'payment junk', 'RB VBD', 'NN NN', 'money paid for the use of money'
'first dispose', 'britain Xs', 'RB VB', 'NP POS', 'a share in a company or business'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'million sale', 'computerized reservations', 'AB NN', 'JJ NNS', 'a share in a company or business'
'sale covia', '', 'NN NP', '', 'a share in a company or business'
'illX company', 'fashion jewelry', 'NP NN', 'NN NN', 'a share in a company or business'
'sure revive', 'matter capitol', 'JJ VB', 'NN NP', 'readiness to give attention'
'6,250,000 plus', 'highest lawful', 'AB CC', 'JJS JJ', 'money paid for the use of money'
'loans lower', 'rates possibly', 'NNS JJR', 'NNS RB', 'money paid for the use of money'
'event bring', 'rate', 'NN VB', 'NN', 'money paid for the use of money'
'billion accrued', 'year amounts', 'AB JJ', 'NN NNS', 'money paid for the use of money'
'rjr fix', 'rates $', 'NP VB', 'NNS NN', 'money paid for the use of money'
'excluding accrued', '- rjr', 'VBG JJ', '? NP', 'money paid for the use of money'
'bonds X', 'rates high', 'NNS POS', 'VBZ RB', 'money paid for the use of money'
'require fixing', 'rate high', 'VB VBG', 'NN JJ', 'money paid for the use of money'
'continue accrue', 'paper mid-1990s', 'VB VB', 'NN NNS', 'money paid for the use of money'
'forced fix', 'rate get', 'VBN VB', 'NN VB', 'money paid for the use of money'
'brunswick also', 'defense aerospace', 'NP RB', 'NN JJ', 'a share in a company or business'
'enhanced investor', 'precious metals', 'JJ NN', 'JJ NNS', 'readiness to give attention'
'create investor', 'precious metals', 'VB NN', 'JJ NNS', 'readiness to give attention'
'', 'lacking long', '', 'JJ JJ', 'readiness to give attention'
'increasing open', 'declining prices', 'VBG JJ', 'VBG NNS', 'a share in a company or business'
'open', 'number outstanding', 'JJ', 'NN JJ', 'a share in a company or business'
'pay overdue', 'still-outstanding loans', 'VB JJ', 'JJ NNS', 'money paid for the use of money'
'owned properties', 'mortgages hit', 'VBN NNS', 'NNS VBN', 'money paid for the use of money'
'inflation high', 'materials costs', 'NN JJ', 'NNS NNS', 'money paid for the use of money'
'hunter voting', '20 %', 'NP NN', 'AB NN', 'a share in a company or business'
'increase uXkX', 'rates pound', 'VB NP', 'NNS NN', 'money paid for the use of money'
'escape taxes', 'sum earns', 'VB NNS', 'NN VBZ', 'money paid for the use of money'
'1988 including', 'past contributions', 'AB VBG', 'JJ NNS', 'money paid for the use of money'
'$ 4,773', 'withdrawn taxfree', 'NN AB', 'VBN JJ', 'money paid for the use of money'
'deferring tax', 'contributions earn', 'VBG NN', 'NNS VBP', 'money paid for the use of money'
'allowing', 'buildup contributions', 'VBG', 'NN NNS', 'money paid for the use of money'
'payments minority', '', 'NNS NN', '', 'a share in a company or business'
'showed little', 'buying securities', 'VBN JJ', 'VBG NNS', 'readiness to give attention'
'created separating', 'payment portion', 'VBN VBG', 'NN NN', 'money paid for the use of money'
'securities pay', 'maturity return', 'NNS VBP', 'NN NN', 'money paid for the use of money'
'strategic economic', '', 'JJ JJ', '', 'advantage, advancement or favor'
'soviet economy', 'lies controlled', 'JJ NN', 'VBZ VBN', 'advantage, advancement or favor'
'takes keen', 'monetary matters', 'VBZ JJ', 'JJ NNS', 'readiness to give attention'
'especially keen', 'board matters', 'RB JJ', 'NN NNS', 'readiness to give attention'
'toward lower', 'rates', 'IN JJR', 'NNS', 'money paid for the use of money'
'fed let', 'rates slip', 'NP VBN', 'NNS VBP', 'money paid for the use of money'
'shares bronfman', 'hold 24', 'NNS NP', 'VBP AB', 'a share in a company or business'
'circumstances free-speech', 'outweighed *interest', 'NNS NN', 'VBD NNS', 'advantage, advancement or favor'
'*interest outweighed', 'copyright owner', 'NNS VBD', 'NN NN', 'advantage, advancement or favor'
'argument public', 'scholarship outweigh', 'NN JJ', 'NN VB', 'advantage, advancement or favor'
'recognized public', 'subject matter', 'VBN JJ', 'JJ NN', 'readiness to give attention'
'bill tailored', 'single individual', 'NN VBN', 'JJ NN', 'advantage, advancement or favor'
'represents dividend', 'hughes earnings', 'VBZ NN', 'NP NNS', 'a share in a company or business'
'represents dividend', 'eds profit', 'VBZ NN', 'NP NN', 'a share in a company or business'
'payment including', 'secured creditors', 'NN VBG', 'VBN NNS', 'money paid for the use of money'
'full credits', '$ 855', 'JJ NNS', 'NN AB', 'money paid for the use of money'
'million payments', 'since', 'AB NNS', 'IN', 'money paid for the use of money'
'accrued unpaid', 'equal $', 'VBN JJ', 'JJ NN', 'money paid for the use of money'
'creditors X', 'accrued since', 'NNS POS', 'VBN IN', 'money paid for the use of money'
'aroused much', 'congress mainly', 'VBN JJ', 'NP RB', 'readiness to give attention'
'drew plenty', 'uXsX auto', 'VBD RB', 'NP NN', 'readiness to give attention'
