% File: interest_1-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'general', 'stocks', 'JJ', 'NNS', 'readiness to give attention'
'projects', 'solid-waste', 'NPS', 'NN', 'a share in a company or business'
'also', 'building', 'RB', 'NN', 'a share in a company or business'
'Xs', 'building', 'POS', 'VBG', 'activity, etc. that one gives attention to'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'trough', 'rate', 'NN', 'JJ', 'money paid for the use of money'
'raised', 'rates', 'VBD', 'NNS', 'money paid for the use of money'
'speculation', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'higher', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'revived', 'gold', 'VBN', 'NN', 'readiness to give attention'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'growing', 'british', 'VBG', 'JJ', 'readiness to give attention'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'show', 'public', 'VB', 'JJ', 'readiness to give attention'
'sell', '', 'VB', '', 'a share in a company or business'
'family', '', 'NN', '', 'a share in a company or business'
'buying', 'however', 'NN', 'RB', 'readiness to give attention'
'realization', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'slowing', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'international', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'foreign-investor', '', 'NN', '', 'readiness to give attention'
'annual', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'auction', 'rate', 'NN', 'NN', 'money paid for the use of money'
'reset', 'rate', 'VB', 'NN', 'money paid for the use of money'
'annual', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'arouses', 'first', 'VBZ', 'JJ', 'readiness to give attention'
'bit', 'golf', 'NN', 'NN', 'readiness to give attention'
'increases', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'suspended', 'payments', 'VBD', 'NNS', 'money paid for the use of money'
'personal', 'says', 'JJ', 'VBZ', 'activity, etc. that one gives attention to'
'much', 'nyu', 'JJ', 'NP', 'readiness to give attention'
'investor', 'stock', 'NN', 'NN', 'readiness to give attention'
'western', 'see', 'JJ', 'VB', 'advantage, advancement or favor'
'expression', 'chapter', 'NN', 'NP', 'readiness to give attention'
'preserve', 'probably', 'VB', 'RB', 'advantage, advancement or favor'
'books', 'charges', 'NNS', 'VBZ', 'money paid for the use of money'
'may', 'cbs', 'MD', 'NP', 'quality of causing attention to be given to'
'', 'instead', '', 'RB', 'readiness to give attention'
'', 'waned', '', 'VBD', 'readiness to give attention'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'annualized', 'rates', 'VBN', 'NNS', 'money paid for the use of money'
'annual', 'set', 'JJ', 'VBN', 'money paid for the use of money'
'lower', '', 'JJR', '', 'money paid for the use of money'
'allowed', 'rate', 'VBD', 'NN', 'money paid for the use of money'
'paying', 'rate', 'VBG', 'NN', 'money paid for the use of money'
'million', 'payments', 'AB', 'NNS', 'money paid for the use of money'
'lower', 'rate', 'VB', 'NN', 'money paid for the use of money'
'protect', 'shareholder', 'VB', 'NN', 'advantage, advancement or favor'
'protect', 'ties', 'VB', 'VBZ', 'a share in a company or business'
'gas', 'amoco', 'NN', 'NP', 'a share in a company or business'
'summer', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'already', 'tissue', 'RB', 'NN', 'a share in a company or business'
'british', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'higher', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'%', 'mitsubishi', 'NN', 'NP', 'a share in a company or business'
'%', 'new', 'NN', 'JJ', 'a share in a company or business'
'reduce', 'payments', 'VB', 'NNS', 'money paid for the use of money'
'resolved', 'national', 'VBN', 'JJ', 'advantage, advancement or favor'
'business', 'airline', 'NN', 'NN', 'activity, etc. that one gives attention to'
'took', 'ordered', 'VBD', 'VBD', 'readiness to give attention'
'', 'emigration', '', 'NN', 'readiness to give attention'
'net', 'income', 'JJ', 'NN', 'money paid for the use of money'
'years', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'fees', 'driven', 'NNS', 'VBN', 'money paid for the use of money'
'cost', 'bonds', 'NN', 'NNS', 'money paid for the use of money'
'shown', '', 'VBN', '', 'readiness to give attention'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'aggregates', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'time', 'outside', 'NN', 'IN', 'activity, etc. that one gives attention to'
'earnings', 'taxes', 'NNS', 'NNS', 'money paid for the use of money'
'earnings', 'taxes', 'NNS', 'NNS', 'money paid for the use of money'
'real-estate', '', 'NN', '', 'a share in a company or business'
'million', 'every', 'AB', 'DT', 'money paid for the use of money'
'long-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'believe', 'rates', 'VBP', 'NNS', 'money paid for the use of money'
'expected', 'rates', 'VBD', 'NNS', 'money paid for the use of money'
'pushed', 'rates', 'VBD', 'NNS', 'money paid for the use of money'
'mortgage', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'falls', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'coal', '$', 'NN', 'NN', 'a share in a company or business'
'great', 'games', 'JJ', 'NNS', 'readiness to give attention'
'time', 'paid', 'NN', 'VBN', 'money paid for the use of money'
'accrued', 'refund', 'VBN', 'NN', 'money paid for the use of money'
'refunds', 'court', 'NNS', 'NN', 'money paid for the use of money'
'equity', 'partner', 'NN', 'NN', 'a share in a company or business'
'cover', 'payments', 'VB', 'NNS', 'money paid for the use of money'
'controlling', '', 'VBG', '', 'a share in a company or business'
'%', 'new', 'NN', 'JJ', 'a share in a company or business'
'public', 'served', 'JJ', 'VBN', 'advantage, advancement or favor'
'buying', '', 'NN', '', 'readiness to give attention'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'move', 'rates', 'VBP', 'NNS', 'money paid for the use of money'
'coX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'less', 'promised', 'JJR', 'VBN', 'money paid for the use of money'
'funds', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'public', '', 'JJ', '', 'advantage, advancement or favor'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'little', 'outside', 'JJ', 'IN', 'quality of causing attention to be given to'
'much', 'democrats', 'JJ', 'NPS', 'readiness to give attention'
'behind', 'payments', 'RB', 'NNS', 'money paid for the use of money'
'%', 'rate', 'NN', 'NN', 'money paid for the use of money'
'banks', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'best', 'cbs', 'JJS', 'NP', 'advantage, advancement or favor'
'obligations', 'expense', 'NNS', 'NN', 'money paid for the use of money'
'cash', '', 'NN', '', 'money paid for the use of money'
'controlling', 'company', 'VBG', 'NN', 'a share in a company or business'
'investor', 'metals', 'NN', 'NNS', 'readiness to give attention'
'effective', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'million', 'expenses', 'AB', 'NNS', 'money paid for the use of money'
'time', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'decline', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'much', '', 'JJ', '', 'readiness to give attention'
'showing', '', 'VBG', '', 'readiness to give attention'
'municipal-bond', 'exempt', 'JJ', 'JJ', 'money paid for the use of money'
'prevailing', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'make', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'losses', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'', 'rate', '', 'NN', 'money paid for the use of money'
'%', 'one', 'NN', 'AB', 'money paid for the use of money'
'market', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'national', 'words', 'JJ', 'NNS', 'advantage, advancement or favor'
'threats', 'manner', 'NNS', 'NN', 'advantage, advancement or favor'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'british', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'buying', 'yen', 'NN', 'NN', 'readiness to give attention'
'X', 'buying', 'POS', 'VBG', 'readiness to give attention'
'giant', 'cement', 'NN', 'NN', 'a share in a company or business'
'accrued', 'date', 'JJ', 'NN', 'money paid for the use of money'
'stake', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'predict', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'gas', 'sale', 'NN', 'NN', 'a share in a company or business'
'unit', 'ranging', 'NN', 'VBG', 'a share in a company or business'
'', 'first', '', 'JJ', 'money paid for the use of money'
'thereafter', 'paid', 'RB', 'VBN', 'money paid for the use of money'
'represent', 'trust', 'VB', 'NN', 'a share in a company or business'
'half', 'oil', 'NN', 'NN', 'a share in a company or business'
'brewing', '', 'NN', '', 'a share in a company or business'
'public', '', 'JJ', '', 'advantage, advancement or favor'
'instruments', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'read', 'robert', 'VBP', 'NP', 'readiness to give attention'
'', 'taken', '', 'VBN', 'advantage, advancement or favor'
'intellectual', '', 'JJ', '', 'activity, etc. that one gives attention to'
'spurring', 'lighter', 'VBG', 'JJR', 'readiness to give attention'
'fat', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'said', 'debt', 'VBD', 'NN', 'money paid for the use of money'
'base', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'charging', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'whose', 'include', 'WP', 'VBP', 'a share in a company or business'
'year', 'expense', 'NN', 'NN', 'money paid for the use of money'
'periodic', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'Xs', 'idea', 'POS', 'NN', 'readiness to give attention'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'variable', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'semiannual', 'payment', 'JJ', 'NN', 'money paid for the use of money'
'missed', 'payment', 'VBD', 'NN', 'money paid for the use of money'
'dispose', 'britain', 'VB', 'NP', 'a share in a company or business'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'sale', 'computerized', 'NN', 'JJ', 'a share in a company or business'
'covia', '', 'NP', '', 'a share in a company or business'
'company', 'fashion', 'NN', 'NN', 'a share in a company or business'
'revive', 'matter', 'VB', 'NN', 'readiness to give attention'
'plus', 'highest', 'CC', 'JJS', 'money paid for the use of money'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'bring', 'rate', 'VB', 'NN', 'money paid for the use of money'
'accrued', 'year', 'JJ', 'NN', 'money paid for the use of money'
'fix', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'accrued', '-', 'JJ', '?', 'money paid for the use of money'
'X', 'rates', 'POS', 'VBZ', 'money paid for the use of money'
'fixing', 'rate', 'VBG', 'NN', 'money paid for the use of money'
'accrue', 'paper', 'VB', 'NN', 'money paid for the use of money'
'fix', 'rate', 'VB', 'NN', 'money paid for the use of money'
'also', 'defense', 'RB', 'NN', 'a share in a company or business'
'investor', 'precious', 'NN', 'JJ', 'readiness to give attention'
'investor', 'precious', 'NN', 'JJ', 'readiness to give attention'
'', 'lacking', '', 'JJ', 'readiness to give attention'
'open', 'declining', 'JJ', 'VBG', 'a share in a company or business'
'open', 'number', 'JJ', 'NN', 'a share in a company or business'
'overdue', 'still-outstanding', 'JJ', 'JJ', 'money paid for the use of money'
'properties', 'mortgages', 'NNS', 'NNS', 'money paid for the use of money'
'high', 'materials', 'JJ', 'NNS', 'money paid for the use of money'
'voting', '20', 'NN', 'AB', 'a share in a company or business'
'uXkX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'taxes', 'sum', 'NNS', 'NN', 'money paid for the use of money'
'including', 'past', 'VBG', 'JJ', 'money paid for the use of money'
'4,773', 'withdrawn', 'AB', 'VBN', 'money paid for the use of money'
'tax', 'contributions', 'NN', 'NNS', 'money paid for the use of money'
'allowing', 'buildup', 'VBG', 'NN', 'money paid for the use of money'
'minority', '', 'NN', '', 'a share in a company or business'
'little', 'buying', 'JJ', 'VBG', 'readiness to give attention'
'separating', 'payment', 'VBG', 'NN', 'money paid for the use of money'
'pay', 'maturity', 'VBP', 'NN', 'money paid for the use of money'
'economic', '', 'JJ', '', 'advantage, advancement or favor'
'economy', 'lies', 'NN', 'VBZ', 'advantage, advancement or favor'
'keen', 'monetary', 'JJ', 'JJ', 'readiness to give attention'
'keen', 'board', 'JJ', 'NN', 'readiness to give attention'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'let', 'rates', 'VBN', 'NNS', 'money paid for the use of money'
'bronfman', 'hold', 'NP', 'VBP', 'a share in a company or business'
'free-speech', 'outweighed', 'NN', 'VBD', 'advantage, advancement or favor'
'outweighed', 'copyright', 'VBD', 'NN', 'advantage, advancement or favor'
'public', 'scholarship', 'JJ', 'NN', 'advantage, advancement or favor'
'public', 'subject', 'JJ', 'JJ', 'readiness to give attention'
'tailored', 'single', 'VBN', 'JJ', 'advantage, advancement or favor'
'dividend', 'hughes', 'NN', 'NP', 'a share in a company or business'
'dividend', 'eds', 'NN', 'NP', 'a share in a company or business'
'including', 'secured', 'VBG', 'VBN', 'money paid for the use of money'
'credits', '$', 'NNS', 'NN', 'money paid for the use of money'
'payments', 'since', 'NNS', 'IN', 'money paid for the use of money'
'unpaid', 'equal', 'JJ', 'JJ', 'money paid for the use of money'
'X', 'accrued', 'POS', 'VBN', 'money paid for the use of money'
'much', 'congress', 'JJ', 'NP', 'readiness to give attention'
'plenty', 'uXsX', 'RB', 'NP', 'readiness to give attention'
'cut', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'lower', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'taxes', 'penalties', 'NNS', 'NNS', 'money paid for the use of money'
'short', 'international', 'JJ', 'NP', 'a share in a company or business'
'short', 'otc', 'JJ', 'NP', 'a share in a company or business'
'stable', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'lose', 'day', 'VB', 'NN', 'money paid for the use of money'
'earn', 'card', 'VB', 'NN', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'plus', 'amounted', 'CC', 'VBN', 'money paid for the use of money'
'jacked', 'income', 'VBN', 'NN', 'money paid for the use of money'
'great', 'since', 'JJ', 'IN', 'readiness to give attention'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'suggesting', 'looking', 'VBG', 'VBG', 'readiness to give attention'
'debt', 'income', 'NN', 'NN', 'money paid for the use of money'
'defer', 'principal', 'VB', 'NN', 'money paid for the use of money'
'cash', 'bill', 'NN', 'NN', 'money paid for the use of money'
'pay', 'bill', 'VB', 'NN', 'money paid for the use of money'
'ignoring', 'individual', 'VBG', 'JJ', 'advantage, advancement or favor'
'pay', 'periodically', 'VB', 'RB', 'money paid for the use of money'
'current', 'bonds', 'JJ', 'NNS', 'money paid for the use of money'
'current', 'bonds', 'JJ', 'NNS', 'money paid for the use of money'
'current', 'bonds', 'JJ', 'NNS', 'money paid for the use of money'
'%', 'national', 'NN', 'NP', 'a share in a company or business'
'manufacturer', 'aerospace', 'NN', 'NN', 'a share in a company or business'
'active', 'beyond', 'JJ', 'IN', 'readiness to give attention'
'family', 'spokeswoman', 'NN', 'NN', 'a share in a company or business'
'best', 'investing', 'JJS', 'VBG', 'advantage, advancement or favor'
'increases', 'expense', 'NNS', 'NN', 'money paid for the use of money'
'minority', '', 'NN', '', 'a share in a company or business'
'sale', 'joint', 'NN', 'JJ', 'a share in a company or business'
'%', 'aXtXbX', 'NN', 'NP', 'a share in a company or business'
'japanese', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'expressions', 'bloomingdale', 'NNS', 'NP', 'readiness to give attention'
'including', 'debt', 'VBG', 'NN', 'money paid for the use of money'
'year', 'cash-deferred', 'NN', 'JJ', 'money paid for the use of money'
'year', 'earned', 'NN', 'VBN', 'money paid for the use of money'
'expressed', 'cutting', 'VBN', 'VBG', 'readiness to give attention'
'average', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'itt', 'electronic', 'NP', 'JJ', 'a share in a company or business'
'working', 'partners', 'VBG', 'NNS', 'a share in a company or business'
'%', 'kuwait', 'NN', 'NP', 'a share in a company or business'
'minority', 'rose', 'NN', 'VBD', 'a share in a company or business'
'high-risk', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'reason', 'sears', 'NN', 'NP', 'readiness to give attention'
'forfeit', 'income', 'VB', 'NN', 'money paid for the use of money'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'consumer', 'small', 'NN', 'JJ', 'advantage, advancement or favor'
'late-payment', 'lost', 'NN', 'JJ', 'money paid for the use of money'
'request', 'abatement', 'VB', 'NN', 'money paid for the use of money'
'home-mortgage', '$', 'JJ', 'NN', 'money paid for the use of money'
'debt', 'fully', 'NN', 'RB', 'money paid for the use of money'
'government', 'unconstitutional', 'NN', 'JJ', 'advantage, advancement or favor'
'special', 'magazines', 'JJ', 'NNS', 'activity, etc. that one gives attention to'
'idosyncratic', 'readers', 'JJ', 'NNS', 'activity, etc. that one gives attention to'
'level', 'rtc', 'NN', 'NP', 'readiness to give attention'
'minority', 'already', 'NN', 'RB', 'a share in a company or business'
'rates', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'coverage', 'costs', 'NN', 'NNS', 'money paid for the use of money'
'school', 'costs', 'NN', 'NNS', 'money paid for the use of money'
'commonality', 'among', 'NN', 'IN', 'activity, etc. that one gives attention to'
'narrow', 'one', 'JJ', 'AB', 'advantage, advancement or favor'
'serve', 'constituents', 'VB', 'NNS', 'advantage, advancement or favor'
'common', 'live', 'JJ', 'VB', 'activity, etc. that one gives attention to'
'short', 'nasdaq', 'JJ', 'NP', 'a share in a company or business'
'short', 'statistics', 'JJ', 'NNS', 'a share in a company or business'
'short', 'figures', 'JJ', 'NNS', 'a share in a company or business'
'short', 'nasdaq', 'JJ', 'NP', 'a share in a company or business'
'short', 'compares', 'JJ', 'VBZ', 'a share in a company or business'
'short', 'represents', 'JJ', 'VBZ', 'a share in a company or business'
'short', 'rose', 'JJ', 'VBD', 'a share in a company or business'
'short', 'octX', 'JJ', 'NP', 'a share in a company or business'
'short', 'first', 'JJ', 'NP', 'a share in a company or business'
'short', 'jumped', 'JJ', 'VBD', 'a share in a company or business'
'short', 'position', 'JJ', 'NN', 'a share in a company or business'
'short', 'stocks', 'JJ', 'NNS', 'a share in a company or business'
'short', 'surge', 'JJ', 'NN', 'a share in a company or business'
'short', 'american', 'JJ', 'JJ', 'a share in a company or business'
'short', 'included', 'JJ', 'VBD', 'a share in a company or business'
'short', 'data', 'JJ', 'NNS', 'a share in a company or business'
'short', '1,327', 'JJ', 'AB', 'a share in a company or business'
'short', 'represents', 'JJ', 'VBZ', 'a share in a company or business'
'short', 'position', 'JJ', 'NN', 'a share in a company or business'
'principal', 'unsecured', 'NN', 'JJ', 'money paid for the use of money'
'inflation', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'', 'picks', '', 'VBZ', 'readiness to give attention'
