% File: interest_whole-phrase.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'market showed little', 'evidence slowing uXsX economy traders note market recent weeks taken cues wall street uXsX economic indicators', 'NN VBD JJ', 'NN VBG NP NN NNS VBP NN JJ NNS VBN NNS NP NP NP JJ NNS', 'readiness to give attention'
'signs slowing economy increasing pressure federal reserve cut short-term', 'rates nXt clear whether central bank', 'NNS VBG NN VBG NN NP NP VB JJ', 'NNS RB JJ IN JJ NN', 'money paid for the use of money'
'fed cut key federal funds', 'rate 0X25 percentage point 8X75 % octX 13 stock market plunge shown sign movement since', 'NP VBD JJ JJ NNS', 'NN AB NN NN AB NN NP AB NN NN NN VBN NN NN IN', 'money paid for the use of money'
'day congress fails actX. additional disruption borrowing schedule possibly resulting higher', 'costs taxpayer treasury secretary nicholas brady said speech prepared delivery last night group bankers', 'NN NP VBZ ? JJ NN NN NN RB VBG JJR', 'NNS NN NP NP NP NP VBD NN VBN NN JJ NN NN NNS', 'money paid for the use of money'
'believe vitally important japanese business', 'uXs', 'VBP RB JJ JJ NN', 'NP', 'activity, etc. that one gives attention to'
'heightened japanese', 'american small business parallels acceleration investments giving japanese companies control large highly visible uXsX corporations columbia pictures entertainment inc', 'JJ JJ', 'JJ JJ NN VBZ NN NNS VBG JJ NNS NN JJ RB JJ NP NNS NP NP NP NP', 'readiness to give attention'
'last year mitsubishi international corpX new york-based arm mitsubishi corpX bought controlling', 'glass company joint venture ronald bodner glass industry executive mitsubishi consultant', 'JJ NN NP NP NP NP NP NN NP NP VBD VBG', 'NN NN JJ NN NP NP NN NN NN NP NN', 'a share in a company or business'
'adds takeshi kondo senior vice president cX itoh america incX great', 'making investments particularly new ventures', 'VBZ NP NP JJ NN NN NP NP NP NP JJ', 'VBG NNS RB JJ NNS', 'readiness to give attention'
'mrX klauser says mitsui 75 uXsX subsidiaries holds 35 %', 'trading company hopes double number uXsX affiliates 1990', 'NP NP VBZ NP AB NP NNS VBZ AB NN', 'NN NN VBZ VB NN NP NNS AB', 'a share in a company or business'
'nearly decade banks competed customers primarily', 'rates pay deposits charge loans', 'RB NN NNS VBN NNS RB', 'NNS VBP NNS VB NNS', 'money paid for the use of money'
'wednesday november 1 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'olympia broadcasting corpX said nXt make $ 1X64 million semiannual', 'payment due yesterday $ 23X4 million senior subordinated debentures', 'NP NP NP VBD RB VB NN AB AB JJ', 'NN JJ NN NN AB AB JJ VBN NNS', 'money paid for the use of money'
'united kingdom high court declared illegal variety', 'rate swap transactions options deals london borough council commercial banks', 'NP NP NP NP VBD JJ NN', 'NN NN NNS NNS NNS NP NN NN JJ NNS', 'money paid for the use of money'
'one point hammersmith reported accounted much 10 % sterling market', 'rate swap dealings', 'AB NN NP VBN VBN JJ AB NN NN NN', 'NN NN NNS', 'money paid for the use of money'
'two parties engage', 'rate swap betting future rates', 'AB NNS VBP', 'NN NN VBG JJ NNS', 'money paid for the use of money'
'thus institution obligated make fixed-rate', 'payments debt swaps payments another making floating-rate payments', 'RB NN VBD VB JJ', 'NNS NN NNS NNS DT VBG JJ NNS', 'money paid for the use of money'
'', 'rates rose municipalities owed banks banks paying', '', 'NNS VBD NNS VBD NNS NNS VBG', 'money paid for the use of money'
'Xm starting see business transactions says andrea west american telephone AND telegraph coX noting growing', '900 service stock sales software tutorials even service contracts', 'VBP VBG VB NN NNS VBZ NP NP NP NP CC NP NP VBG VBG', 'AB NN NN NNS NN NNS RB NN NNS', 'readiness to give attention'
'Xd much rather see dealing', 'rates deficit', 'MD RB RB VB VBG', 'NNS NN', 'money paid for the use of money'
'$ 30X9 million fourth series bonds', 'subject federal alternative minimum tax', 'NN AB AB JJ NN NNS', 'JJ JJ NN NN NN', 'money paid for the use of money'
'backers fielded every important', 'team - popular mayor chamber commerce major media - spent $ 100,000 promotion', 'NNS VBD DT JJ', 'NN ? JJ NN NP NP JJ NNS ? VBD NN AB NN', 'advantage, advancement or favor'
'congress create compensation program help victims protecting national', 'encouraging new drugs', 'NP VB NN NN VB NNS VBG JJ', 'VBG JJ NNS', 'advantage, advancement or favor'
'institutions mostly remained sidelines uncertainty regarding', 'rates dollar', 'NNS RB VBD NNS NN VBG', 'NNS NN', 'money paid for the use of money'
'due continuingly high gold prices tied uncertainty uXsX currency investor', 'directed toward oil mining shares traders called defensive action frequently taken dollar expected fall times inflation', 'JJ RB JJ NN NNS VBN NN NP NN NN', 'VBN IN NN NN NNS NNS VBD JJ NN RB VBN NN VBN VB NNS NN', 'readiness to give attention'
'dealers said investor', 'focused defensive blue-chip stocks particularly limited uXkX exposure', 'NNS VBD NN', 'VBN JJ JJ NNS RB JJ NP NN', 'readiness to give attention'
'total return measures price changes', 'income', 'JJ NN VBZ NN NNS', 'NN', 'money paid for the use of money'
'rating concern said textile clothing company Xs', 'expense exceeds operating profit wide margin noted united Xs estimated after-tax loss $ 24 million year ended june 30', 'NN NN VBD NN NN NN POS', 'NN VBZ NN NN JJ NN VBD NP POS VBN JJ NN NN AB AB NN VBD NP AB', 'money paid for the use of money'
'although takeover experts said doubted mrX steinberg make bid application reliance group holdings incX signal', 'helping revive failed labor-management bid', 'IN NN NNS VBD VBD NP NP VB NN NN NP NP NPS NP VB', 'VBG VB VBN JJ NN', 'readiness to give attention'
'younkers management likely buy 10 % 20 %', 'chain january said fred sX hubbell equitable Xs president chief executive officer', 'NP NN JJ VB AB NN AB NN', 'NN NP VBD NP NP NP NP POS NN NN NN NN', 'a share in a company or business'
'reuters holdings plc said michael reupke resigned general manager pursue unspecified', 'move news organization termed amicable separation', 'NP NP NP VBD NP NP VBD JJ NN VB JJ', 'NN NN NN VBD JJ NN', 'activity, etc. that one gives attention to'
'company also cited', 'costs amortization goodwill factors loss', 'NN RB VBD', 'NNS NN NN NNS NN', 'money paid for the use of money'
'trading expected remain subdued market awaits tomorrow Xs release jobs data hope point toward decline', 'rates', 'NN VBN VB VBN NN VBZ NN POS NN NNS NNS NN VB IN NN', 'NNS', 'money paid for the use of money'
'meridian national corpX said sold 750,000 shares common stock mcalpine family', '$ 1 million $ 1X35 share', 'NP NP NP VBD VBD AB NNS JJ NN NP NN', 'NN AB AB NN AB NN', 'a share in a company or business'
'thrift said charges assuming dramatic fluctuation', 'rates association expects achieve near record earnings 1990', 'NN VBD NNS VBG JJ NN', 'NNS NN VBZ VB IN NN NNS AB', 'money paid for the use of money'
'fed coming pressure cut short-term', 'rates due apparent slowing economy', 'NP VBG NN VB JJ', 'NNS JJ JJ NN NN', 'money paid for the use of money'
'tuesday october 31 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'jaguar Xs best', 'company Xs future assured present climate uncertainty resolved quickly possible mrX ridley said', 'NP POS JJS', 'NN POS NN VBN JJ NN NN VBN RB JJ NP NP VBD', 'advantage, advancement or favor'
'share price languishing 400 pence ford Xs septX 19 announcement', 'minority stake', 'NN NN VBG AB NN NP POS NP AB NN', 'NN NN', 'readiness to give attention'
'government already buffeted high', 'rates slowing economy badly hurt last week Xs shake-up mrsX thatcher Xs cabinet', 'NN RB VBN JJ', 'NNS VBG NN RB VBN JJ NN POS NN NP NP POS NN', 'money paid for the use of money'
'going pursue', 'mrX jahn said', 'VBG VB', 'NP NP VBD', 'activity, etc. that one gives attention to'
'sectors failed attract investor', 'remained sluggish making overall trading appear mixed', 'NNS VBD VB NN', 'VBD JJ VBG JJ NN VB JJ', 'readiness to give attention'
'first said domestic', 'rates likely stay higher levels increased anticipation inflation followed rising consumer prices reported last week', 'LS VBD JJ', 'NNS JJ VB JJR NNS JJ NN NN VBD VBG NN NNS VBN JJ NN', 'money paid for the use of money'
'cd trend runs counter direction short-term', 'rates treasury bill auction monday', 'NN NN VBZ RB NN JJ', 'NNS NP NN NN NP', 'money paid for the use of money'
'market', 'rates move rapidly increases bank cd yields sometimes lag', 'NN', 'NNS VBP RB NNS NN NN NNS RB VBP', 'money paid for the use of money'
'fraser AND neave also', 'packaging beer dairy products holds coke licenses malaysia brunei per-capita consumption nXt high singapore', 'NP CC NP RB', 'NN NN NN NNS VBZ NP NNS NP NP JJ NN RB JJ NP', 'a share in a company or business'
'moody Xs investors service incX said lowered ratings $ 3X2 billion houston lighting AND power coX Xs securities company Xs levels', 'coverage internal cash generation', 'NP POS NPS NP NP VBD VBD NNS NN AB AB NP NP CC NP NP POS NNS NN POS NNS', 'NN JJ NN NN', 'money paid for the use of money'
'remainder expect downturn begin sometime although manufacturers often quick call lower', 'rates 60 % executives said prefer fed keep inflation-fighting top priority even means higher rates', 'NN VBP NN VB RB IN NNS RB JJ VB JJR', 'NNS AB NN NNS VBD VB NP VB NN JJ NN RB VBZ JJR NNS', 'money paid for the use of money'
'40 % said fed ought worry less inflation bring', 'rates', 'AB NN VBD NP MD VB RBR NN VB', 'NNS', 'money paid for the use of money'
'average', 'rate rose 8X3875 % citicorp Xs $ 50 million weekly auction 91-day commercial paper corporate ious 8X337 % last week Xs sale', 'JJ', 'NN VBD AB NN NP POS NN AB AB JJ NN JJ JJ NN JJ NNS AB NN JJ NN POS NN', 'money paid for the use of money'
'fbi initially showed little', 'impression federal security agencies tangled legal red tape', 'NP RB VBD JJ', 'NN JJ NN NNS VBN JJ JJ NN', 'readiness to give attention'
'one international specialists steve white took quick', 'mrX stoll Xs hunt ultimately tracing hacker west germany', 'AB JJ NNS NP NP VBD JJ', 'NP NP POS NN RB VBG NN NP NP', 'readiness to give attention'
'higher', 'rates paid off-budget debt add billions bailout costs nXt subject congressional scrutiny ways means members argued', 'JJR', 'NNS VBN JJ NN VB NNS NN NNS RB JJ JJ NN NPS NPS NNS VBD', 'money paid for the use of money'
'lumber insulation fireproofing concern said transaction includes swap timber', 'result $ 13X5 million after-tax recorded fourth quarter', 'NN NN NN NN VBD NN VBZ NN NN', 'VB NN AB AB JJ VBN JJ NN', 'a share in a company or business'
'spokesman said healthvest paid two three banks owed', 'october negotiations third bank', 'NN VBD NP VBN AB AB NNS VBD', 'NP NNS JJ NN', 'money paid for the use of money'
'loan backed healthcare Xs 5X4 % stake healthvest', 'certain facilities', 'NN VBN NP POS AB NN NN NP', 'JJ NNS', 'a share in a company or business'
'prosecutors indictment based grand jury Xs report maintain various times since 1975 owned secret illegal', 'beer distributorship plotted hidden ownership *interest real estate presented alleged conflict *interest set dummy corporation buy car obtain insurance former girlfriend second wife maintained 54 accounts six banks cambria county', 'NNS NN VBN JJ NN POS NN VBP JJ NNS IN AB VBD JJ JJ', 'NN NN VBD JJ NN NNS JJ NN VBD JJ NN NN VBN JJ NN VB NN VB NN JJ NN JJ NN VBD AB NNS AB NNS NP NP', 'a share in a company or business'
'prosecutors indictment based grand jury Xs report maintain various times since 1975 owned secret illegal *interest beer distributorship plotted hidden ownership', 'real estate presented alleged conflict *interest set dummy corporation buy car obtain insurance former girlfriend second wife maintained 54 accounts six banks cambria county', 'NNS NN VBN JJ NN POS NN VBP JJ NNS IN AB VBD JJ JJ NN NN NN VBD JJ NN', 'JJ NN VBD JJ NN NN VBN JJ NN VB NN VB NN JJ NN JJ NN VBD AB NNS AB NNS NP NP', 'a share in a company or business'
'refinanced judge Xs loan lowered', 'rate accepted trade-in nXt originally part deal - beat 1981 chevy citation dealer repair resold', 'VBD NN POS NN VBD', 'NN VBD NN RB RB NN NN ? JJ AB NP NP NN VB VBN', 'money paid for the use of money'
'two years later wrote complain', 'paying unsecured $ 10,000 loan absolutely onerous', 'AB NNS RB VBD VB', 'VBG JJ NN AB NN RB JJ', 'money paid for the use of money'
'group Xs bid $ 40X9 million wastewater treatment insured bonds series 1989 produced 7X0826 % true', 'cost', 'NN POS NN NN AB AB NN NN JJ NNS NN AB VBD AB NN JJ', 'NN', 'money paid for the use of money'
'group Xs bid $ 34X2 million wastewater treatment bonds series 1989 produced 7X0808 % true', 'cost', 'NN POS NN NN AB AB NN NN NNS NN AB VBD AB NN JJ', 'NN', 'money paid for the use of money'
'', 'bonds treated preference item calculating federal alternative minimum tax may imposed certain investors', '', 'NNS VBN NN NN VBG JJ NN JJ NN MD VBN JJ NNS', 'money paid for the use of money'
'marks big change japanese shunned mortgage securities getting burned big downturn', 'rates years back', 'VBZ JJ NN NPS VBD NN NNS VBG VBN JJ NN', 'NNS NNS RB', 'money paid for the use of money'
'nXt say Xs tsunami tidal wave Xre making headway says fannie mae Xs chairman david oX maxwell visits tokyo least year explain drum investor', 'mortgage securities', 'RB VB VBZ NN JJ NN VBP VBG NN VBZ NP NP POS NN NP NP NP VBZ NP JJS NN VB VB NN', 'NN NNS', 'readiness to give attention'
'', 'great deal higher year ago', '', 'JJ NN JJR NN RB', 'readiness to give attention'
'ultimately says strong demand help drive', 'rates mortgage securities', 'RB VBZ JJ NN VB VB', 'NNS NN NNS', 'money paid for the use of money'
'compounding trouble japanese investors mortgage securities pay', 'monthly since mortgages require homeowners make monthly payments', 'VBG NN JJ NNS NN NNS VBP', 'RB IN NNS VBP NNS VB JJ NNS', 'money paid for the use of money'
'supporters poison pills argue adoption forces bidders negotiate corporation Xs directors thereby put better position pursue long-term', 'corporation', 'NNS NN NNS VBP NN VBZ NNS VB NN POS NNS RB VBN JJR NN VB JJ', 'NN', 'advantage, advancement or favor'
'enfield holding company', 'manufacturing concerns', 'NP VBG NN', 'VBG NNS', 'a share in a company or business'
'odds ends despite growing', 'environment uXsX consumers nXt shown much *interest refillable packages household products', 'NNS NNS IN VBG', 'NN NP NNS RB VBN JJ NN JJ NNS NN NNS', 'readiness to give attention'
'odds ends despite growing *interest environment uXsX consumers nXt shown much', 'refillable packages household products', 'NNS NNS IN VBG NN NN NP NNS RB VBN JJ', 'JJ NNS NN NNS', 'readiness to give attention'
'pay', '115 months principal payments beginning thereafter', 'VBP', 'AB NNS JJ NNS VBG RB', 'money paid for the use of money'
'number polled predict dollar slip federal reserve eases', 'rates', 'NN VBN VBP NN VB NP NP VBZ', 'NNS', 'money paid for the use of money'
'last month Xs survey number currency analysts predicted dollar pressured narrowing', 'rate differentials uXsX west germany', 'JJ NN POS NN NN NN NNS VBD NN VBN NN', 'NN NNS NP NP NP', 'money paid for the use of money'
'surprisingly sharp widening uXsX august merchandise trade deficit - $ 10X77 billion revised $ 8X24 billion july well expectations - startling 190-point drop stock prices octX 13 federal reserve relaxed short-term', 'rates knocking fed funds around 9 % 8 34 %', 'RB JJ NN NP NP NN NN NN ? NN AB AB JJ NN AB AB NP RB NNS ? JJ JJ NN NN NNS NP AB NP NP VBD JJ', 'NNS VBG VBN NNS IN AB NN AB AB NN', 'money paid for the use of money'
'predictions central banks group seven g-7 major industrial nations continue massive dollar sales went astray market drove dollar downward reacting wall street Xs plunge subsequent price volatility lower uXsX', 'rates signs slowing uXsX economy', 'NNS JJ NNS NP NP NP JJ JJ NNS VB JJ NN NNS VBD RB NN VBD NN RB VBG NP NP POS NN JJ NN NN JJR NP', 'NNS NNS VBG NP NN', 'money paid for the use of money'
'mrX kakita added uXsX equities regain stability players move back dollar-denominated investments especially treasury bonds whose value rises', 'rates decline', 'NP NP VBD NP NNS VBP NN NNS VB RB JJ NNS RB NP NNS WP NN VBZ', 'NNS VBP', 'money paid for the use of money'
'said expects uXsX', 'rates decline dragging dollar around 1X80 marks end january short-lived dash 1X87 marks end november', 'VBD VBZ NP', 'NNS VB VBG NN IN AB NNS NN NP JJ NN AB NNS NN NP', 'money paid for the use of money'
'west german', 'rates said remain unchanged', 'JJ JJ', 'NNS VBD VB JJ', 'money paid for the use of money'
'Xre finally seeing culmination recessionary buildup last months said noting continuing downward trend uXsX', 'rates shaky stock market gloomier economic times ahead signal significantly lower dollar', 'VBP RB VBG NN JJ NN JJ NNS VBD VBG VBG JJ NN NP', 'NNS JJ NN NN JJR JJ NNS RB VBP RB JJR NN', 'money paid for the use of money'
'head trader chemical banking corpX Xs', 'rate options group left company following valuation errors resulted $ 33 million charge third-quarter results', 'JJ NN NP NP NP POS', 'NN NNS NN VBN NN VBG NN NNS VBD NN AB AB NN JJ NNS', 'money paid for the use of money'
'personnel changes stemming problems options unit - chemical named james kennedy trader swaps contracts bank assume mrX edelson Xs duties trading manager derivative products including swaps', 'rate options', 'NNS NNS VBG NNS NNS NN ? NP VBD NP NP NN NNS NNS NN VB NP NP POS NNS NN NN JJ NNS VBG NNS', 'NN NNS', 'money paid for the use of money'
'spokeswoman said frankfurt situation totally different problems', 'rate options unit', 'NN VBD NP NN RB JJ NNS', 'NN NNS NN', 'money paid for the use of money'
'according individuals familiar situation frankfurt loss stemmed computer program calculating prices forward-rate agreements failed envision', 'rate environment short-term rates equal higher long-term rates', 'VBG NNS JJ NN NP NN VBD NN NN VBG NNS JJ NNS VBD VB', 'NN NN JJ NNS JJ JJR JJ NNS', 'money paid for the use of money'
'incidents involving', 'rate options forward-rate agreements unrelated observers say echo 1987 incident bankers trust new york corpX restated value foreign exchange options contracts downward $ 80 million', 'NNS VBG', 'NN NNS JJ NNS JJ NNS VBP VBP AB NN NP NP NP NP NP VBD NN JJ NN NNS NN RB NN AB AB', 'money paid for the use of money'
'', 'rate options contract client pays fee bank custom-tailored protection adverse *interest rate swings specified period', '', 'NN NNS NN NN VBZ NN NN JJ NN JJ NN NN NNS JJ NN', 'money paid for the use of money'
'started three years ago chemical Xs', 'rate options group leading force field', 'VBN AB NNS RB NP POS', 'NN NNS NN JJ NN NN', 'money paid for the use of money'
'started three years ago chemical Xs', 'rate options group leading force field', 'VBN AB NNS RB NP POS', 'NN NNS NN JJ NN NN', 'money paid for the use of money'
'20 years pushing labor proposals overhaul nation Xs health-care system bert seidman afl-cio finding', 'unlikely quarter big business', 'AB NNS VBG NN NNS VB NN POS NN NN NP NP NP VBG', 'JJ NN JJ NN', 'readiness to give attention'
'analysts cynical new corporate', 'health-care overhaul', 'NNS JJ JJ JJ', 'NN NN', 'readiness to give attention'
'unless federal reserve eases', 'rates soon stimulate economy profits remain disappointing', 'IN NP NP VBZ', 'NNS RB VB NN NNS VB JJ', 'money paid for the use of money'
'bouygues sXaX diversified construction concern based paris said consolidated profit 1989 first half payments minority', 'surged 188 million french francs $ 30X2 million 65 million francs year earlier', 'NP NP JJ NN NN VBN NP VBD JJ NN AB JJ NN NNS NN', 'VBD AB AB JJ NNS NN AB AB AB AB NNS NN RBR', 'a share in a company or business'
'1988 bouygues consolidated profit 519 million francs payments minority', 'revenue 50 billion francs', 'AB NNS JJ NN AB AB NNS NNS NN', 'NN AB AB NNS', 'a share in a company or business'
'', 'rate sensitives nXt rallying rest market fears federal reserve mrX jennison said', '', 'NN NNS RB VBG NN NN NNS NP NP NP NP VBD', 'money paid for the use of money'
'said investors scour october employment report due friday clues direction economy immediate outlook', 'rates', 'VBD NNS VB NP NN NN JJ NP NNS NN NN JJ NN', 'NNS', 'money paid for the use of money'
'separate $ 67 billion bill sent white house budget difficulties saved ultimately importance broad spectrum', 'congress administration', 'JJ NN AB AB NN VBN NP NP NN NNS VBN RB NN JJ NN', 'NP NN', 'activity, etc. that one gives attention to'
'dallas oil gas concern said $ 10 million facility used consolidate company Xs $ 8X1 million existing bank debt repurchase 4 million 4X9 million shares outstanding series convertible preferred stock purchase 10 % net-profits', 'certain oil gas properties one existing lenders national canada corp', 'NP NN NN NN VBD NN AB AB NN VBN VB NN POS NN AB AB VBG NN NN VB AB AB AB AB NNS JJ NP JJ JJ NN VB AB NN JJ', 'JJ NN NN NNS AB VBG NNS NP NP NP', 'a share in a company or business'
'ted eubank coda Xs president said loan carries', 'rate prime plus one percentage point 85 % company Xs net oil gas revenue month dedicated repayment', 'NP NP NP POS NN VBD NN VBZ', 'NN JJ CC AB NN NN AB NN NN POS JJ NN NN NN NN VBN NN', 'money paid for the use of money'
'santa disclosed negotiating sell 20 %', 'real estate unit california public employees retirement system roughly $ 400 million', 'NP VBN VBG VB AB NN', 'JJ NN NN NP NP NPS NP NP RB NN AB AB', 'a share in a company or business'
'profit tax minority', 'extraordinary items rose 12 % # 135X2 million per-share earnings rose five pence 4X5 pence', 'NN NN NN', 'JJ NNS VBD AB NN NN AB AB JJ NNS VBD AB NNS AB NNS', 'a share in a company or business'
'mrX meek said suspicions aroused several foreign investments lincoln including $ 22 million paid credit suisse switzerland $ 18 million', 'saudi european bank paris $ 17X5 million investment bahamas trading company recently discovered holding panama-based company southbrook holdings', 'NP NP VBD NNS VBN JJ JJ NNS NP VBG NN AB AB VBN NP NP NP NN AB AB', 'NP NP NP NP NN AB AB NN NPS NN NN RB VBN NN JJ NN NP NPS', 'a share in a company or business'
'noted institutional investors showed pretty general', 'stocks latest session', 'VBD JJ NNS VBD RB JJ', 'NNS JJS NN', 'readiness to give attention'
'ogden projects', 'solid-waste recovery hazardous-waste cleanup said 13 facilities operation seven year ago', 'NP NPS', 'NN NN NN NN VBD AB NNS NN AB NN RB', 'a share in a company or business'
'meanwhile ogden corpX also', 'building maintenance management reported third-quarter net income $ 27X1 million 67 cents share twice $ 13X5 million 34 cents share year earlier', 'RB NP NP RB', 'NN NN NN VBD JJ JJ NN NN AB AB AB NNS NN RB NN AB AB AB NNS NN NN RBR', 'a share in a company or business'
'phelan Xs', 'building electronic marketplace said market maker', 'NN POS', 'VBG JJ NN VBD NN NN', 'activity, etc. that one gives attention to'
'economists said report raised speculation economic slowdown turn recession pave way federal reserve lower', 'rates', 'NNS VBD NN VBD NN JJ NN VB NN VB NN NP NP VB', 'NNS', 'money paid for the use of money'
'analysts believe company ability pinpoint trough', 'rate cycles', 'NNS VBP NN NN VB NN', 'JJ NNS', 'money paid for the use of money'
'october 1979 days federal reserve raised', 'rates ibm offered $ 1 billion debt securities', 'NP AB NNS NP NP VBD', 'NNS NP VBD NN AB AB NN NNS', 'money paid for the use of money'
'west german bonds firmed bit monday Xs fall traders said market remains bearish due speculation', 'rates rise', 'JJ JJ NNS VBD NN NP POS NN NNS VBD NN VBZ JJ RB NN', 'NNS VB', 'money paid for the use of money'
'comments interpreted sign higher', 'rates possible', 'NNS VBN NN JJR', 'NNS JJ', 'money paid for the use of money'
'still lot investors clearly revived', 'gold utility shares', 'RB NN NNS RB VBN', 'NN NN NNS', 'readiness to give attention'
'fed come rescue produce lower short-term', 'rates next 30 days market Xs going flounder says larry wachtel market analyst prudential-bache securities', 'NP VBN NN VB JJR JJ', 'NNS JJ AB NNS NN VBZ VBG VB VBZ NP NP NN NN NP NP', 'money paid for the use of money'
'although daimler said nXt *interested mounting bid jaguar dealers said name underlined growing', 'british concern', 'IN NP VBD RB JJ VBG NN NP NNS VBD NN VBD VBG', 'JJ NN', 'readiness to give attention'
'takamori matsuda analyst dresdner-abd securities said fading expectation lower', 'rates made investors step back real-estate shares advanced last week', 'NP NP NN NP NP VBD JJ NN JJR', 'NNS VBD NNS VB RB NN NNS VBD JJ NN', 'money paid for the use of money'
'almost peruvian days show', 'public office heroic gesture mrX vargas llosa especially since already achieved high position world Xs eyes writer', 'RB NP NNS VB', 'JJ NN JJ NN NP NP NP RB IN RB VBN JJ NN NN POS NNS NN', 'readiness to give attention'
'four seasons spokeswoman said mrX sharp 81 % voting stake company current plans sell', '', 'NP NPS NN VBD NP NP AB NN NN NN NN JJ NNS VB', '', 'a share in a company or business'
'rockefeller group said september seek investors purchase much 80 % firm holding company rockefeller family', '', 'NP NP VBD NP VB NNS VB JJ AB NN NN VBG NN NP NN', '', 'a share in a company or business'
