% File: interest_4-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'announcement 19 septX Xs', 'minority stake', 'NN AB NP POS', 'NN NN', 'readiness to give attention'
'high buffeted already government', 'rates slowing economy badly', 'JJ VBN RB NN', 'NNS VBG NN RB', 'money paid for the use of money'
'pursue going', 'mrX jahn said', 'VB VBG', 'NP NP VBD', 'activity, etc. that one gives attention to'
'investor attract failed sectors', 'remained sluggish making overall', 'NN VB VBD NNS', 'VBD JJ VBG JJ', 'readiness to give attention'
'domestic said first', 'rates likely stay higher', 'JJ VBD LS', 'NNS JJ VB JJR', 'money paid for the use of money'
'short-term direction counter runs', 'rates treasury bill auction', 'JJ NN RB VBZ', 'NNS NP NN NN', 'money paid for the use of money'
'market', 'rates move rapidly increases', 'NN', 'NNS VBP RB NNS', 'money paid for the use of money'
'also neave AND fraser', 'packaging beer dairy products', 'RB NP CC NP', 'NN NN NN NNS', 'a share in a company or business'
'levels Xs company securities', 'coverage internal cash generation', 'NNS POS NN NNS', 'NN JJ NN NN', 'money paid for the use of money'
'lower call quick often', 'rates 60 % executives', 'JJR VB JJ RB', 'NNS AB NN NNS', 'money paid for the use of money'
'bring inflation less worry', 'rates', 'VB NN RBR VB', 'NNS', 'money paid for the use of money'
'average', 'rate rose 8X3875 %', 'JJ', 'NN VBD AB NN', 'money paid for the use of money'
'little showed initially fbi', 'impression federal security agencies', 'JJ VBD RB NP', 'NN JJ NN NNS', 'readiness to give attention'
'quick took white steve', 'mrX stoll Xs hunt', 'JJ VBD NP NP', 'NP NP POS NN', 'readiness to give attention'
'higher', 'rates paid off-budget debt', 'JJR', 'NNS VBN JJ NN', 'money paid for the use of money'
'timber swap includes transaction', 'result $ 13X5 million', 'NN NN VBZ NN', 'VB NN AB AB', 'a share in a company or business'
'owed banks three two', 'october negotiations third bank', 'VBD NNS AB AB', 'NP NNS JJ NN', 'money paid for the use of money'
'healthvest stake % 5X4', 'certain facilities', 'NP NN NN AB', 'JJ NNS', 'a share in a company or business'
'illegal secret owned 1975', 'beer distributorship plotted hidden', 'JJ JJ VBD AB', 'NN NN VBD JJ', 'a share in a company or business'
'ownership hidden plotted distributorship', 'real estate presented alleged', 'NN JJ VBD NN', 'JJ NN VBD JJ', 'a share in a company or business'
'lowered loan Xs judge', 'rate accepted trade-in nXt', 'VBD NN POS NN', 'NN VBD NN RB', 'money paid for the use of money'
'complain wrote later years', 'paying unsecured $ 10,000', 'VB VBD RB NNS', 'VBG JJ NN AB', 'money paid for the use of money'
'true % 7X0826 produced', 'cost', 'JJ NN AB VBD', 'NN', 'money paid for the use of money'
'true % 7X0808 produced', 'cost', 'JJ NN AB VBD', 'NN', 'money paid for the use of money'
'', 'bonds treated preference item', '', 'NNS VBN NN NN', 'money paid for the use of money'
'downturn big burned getting', 'rates years back', 'NN JJ VBN VBG', 'NNS NNS RB', 'money paid for the use of money'
'investor drum explain year', 'mortgage securities', 'NN VB VB NN', 'NN NNS', 'readiness to give attention'
'', 'great deal higher year', '', 'JJ NN JJR NN', 'readiness to give attention'
'drive help demand strong', 'rates mortgage securities', 'VB VB NN JJ', 'NNS NN NNS', 'money paid for the use of money'
'pay securities mortgage investors', 'monthly since mortgages require', 'VBP NNS NN NNS', 'RB IN NNS VBP', 'money paid for the use of money'
'long-term pursue position better', 'corporation', 'JJ VB NN JJR', 'NN', 'advantage, advancement or favor'
'company holding enfield', 'manufacturing concerns', 'NN VBG NP', 'VBG NNS', 'a share in a company or business'
'growing despite ends odds', 'environment uXsX consumers nXt', 'VBG IN NNS NNS', 'NN NP NNS RB', 'readiness to give attention'
'much shown nXt consumers', 'refillable packages household products', 'JJ VBN RB NNS', 'JJ NNS NN NNS', 'readiness to give attention'
'pay', '115 months principal payments', 'VBP', 'AB NNS JJ NNS', 'money paid for the use of money'
'eases reserve federal slip', 'rates', 'VBZ NP NP VB', 'NNS', 'money paid for the use of money'
'narrowing pressured dollar predicted', 'rate differentials uXsX west', 'NN VBN NN VBD', 'NN NNS NP NP', 'money paid for the use of money'
'short-term relaxed reserve federal', 'rates knocking fed funds', 'JJ VBD NP NP', 'NNS VBG VBN NNS', 'money paid for the use of money'
'uXsX lower volatility price', 'rates signs slowing uXsX', 'NP JJR NN NN', 'NNS NNS VBG NP', 'money paid for the use of money'
'rises value whose bonds', 'rates decline', 'VBZ NN WP NNS', 'NNS VBP', 'money paid for the use of money'
'uXsX expects said', 'rates decline dragging dollar', 'NP VBZ VBD', 'NNS VB VBG NN', 'money paid for the use of money'
'german west', 'rates said remain unchanged', 'JJ JJ', 'NNS VBD VB JJ', 'money paid for the use of money'
'uXsX trend downward continuing', 'rates shaky stock market', 'NP NN JJ VBG', 'NNS JJ NN NN', 'money paid for the use of money'
'Xs corpX banking chemical', 'rate options group left', 'POS NP NP NP', 'NN NNS NN VBN', 'money paid for the use of money'
'swaps including products derivative', 'rate options', 'NNS VBG NNS JJ', 'NN NNS', 'money paid for the use of money'
'problems different totally situation', 'rate options unit', 'NNS JJ RB NN', 'NN NNS NN', 'money paid for the use of money'
'envision failed agreements forward-rate', 'rate environment short-term rates', 'VB VBD NNS JJ', 'NN NN JJ NNS', 'money paid for the use of money'
'involving incidents', 'rate options forward-rate agreements', 'VBG NNS', 'NN NNS JJ NNS', 'money paid for the use of money'
'', 'rate options contract client', '', 'NN NNS NN NN', 'money paid for the use of money'
'Xs chemical ago years', 'rate options group leading', 'POS NP RB NNS', 'NN NNS NN JJ', 'money paid for the use of money'
'Xs chemical ago years', 'rate options group leading', 'POS NP RB NNS', 'NN NNS NN JJ', 'money paid for the use of money'
'finding afl-cio seidman bert', 'unlikely quarter big business', 'VBG NP NP NP', 'JJ NN JJ NN', 'readiness to give attention'
'corporate new cynical analysts', 'health-care overhaul', 'JJ JJ JJ NNS', 'NN NN', 'readiness to give attention'
'eases reserve federal unless', 'rates soon stimulate economy', 'VBZ NP NP IN', 'NNS RB VB NN', 'money paid for the use of money'
'minority payments half first', 'surged 188 million french', 'NN NNS NN JJ', 'VBD AB AB JJ', 'a share in a company or business'
'minority payments francs million', 'revenue 50 billion francs', 'NN NNS NNS AB', 'NN AB AB NNS', 'a share in a company or business'
'', 'rate sensitives nXt rallying', '', 'NN NNS RB VBG', 'money paid for the use of money'
'outlook immediate economy direction', 'rates', 'NN JJ NN NN', 'NNS', 'money paid for the use of money'
'spectrum broad importance ultimately', 'congress administration', 'NN JJ NN RB', 'NP NN', 'activity, etc. that one gives attention to'
'net-profits % 10 purchase', 'certain oil gas properties', 'JJ NN AB VB', 'JJ NN NN NNS', 'a share in a company or business'
'carries loan said president', 'rate prime plus one', 'VBZ NN VBD NN', 'NN JJ CC AB', 'money paid for the use of money'
'% 20 sell negotiating', 'real estate unit california', 'NN AB VB VBG', 'JJ NN NN NP', 'a share in a company or business'
'minority tax profit', 'extraordinary items rose 12', 'NN NN NN', 'JJ NNS VBD AB', 'a share in a company or business'
'million 18 $ switzerland', 'saudi european bank paris', 'AB AB NN NP', 'NP NP NP NP', 'a share in a company or business'
'general pretty showed investors', 'stocks latest session', 'JJ RB VBD NNS', 'NNS JJS NN', 'readiness to give attention'
'projects ogden', 'solid-waste recovery hazardous-waste cleanup', 'NPS NP', 'NN NN NN NN', 'a share in a company or business'
'also corpX ogden meanwhile', 'building maintenance management reported', 'RB NP NP RB', 'NN NN NN VBD', 'a share in a company or business'
'Xs phelan', 'building electronic marketplace said', 'POS NN', 'VBG JJ NN VBD', 'activity, etc. that one gives attention to'
'lower reserve federal way', 'rates', 'VB NP NP NN', 'NNS', 'money paid for the use of money'
'trough pinpoint ability company', 'rate cycles', 'NN VB NN NN', 'JJ NNS', 'money paid for the use of money'
'raised reserve federal days', 'rates ibm offered $', 'VBD NP NP NNS', 'NNS NP VBD NN', 'money paid for the use of money'
'speculation due bearish remains', 'rates rise', 'NN RB JJ VBZ', 'NNS VB', 'money paid for the use of money'
'higher sign interpreted comments', 'rates possible', 'JJR NN VBN NNS', 'NNS JJ', 'money paid for the use of money'
'revived clearly investors lot', 'gold utility shares', 'VBN RB NNS NN', 'NN NN NNS', 'readiness to give attention'
'short-term lower produce rescue', 'rates next 30 days', 'JJ JJR VB NN', 'NNS JJ AB NNS', 'money paid for the use of money'
'growing underlined name said', 'british concern', 'VBG VBD NN VBD', 'JJ NN', 'readiness to give attention'
'lower expectation fading said', 'rates made investors step', 'JJR NN JJ VBD', 'NNS VBD NNS VB', 'money paid for the use of money'
'show days peruvian almost', 'public office heroic gesture', 'VB NNS NP RB', 'JJ NN JJ NN', 'readiness to give attention'
'sell plans current company', '', 'VB NNS JJ NN', '', 'a share in a company or business'
'family rockefeller company holding', '', 'NN NP NN VBG', '', 'a share in a company or business'
'buying attracted issues blue-chip', 'however jones industrial average', 'NN VBD NNS JJ', 'RB NP NP NP', 'readiness to give attention'
'realization', 'rates firm due excessive', 'NN', 'NNS JJ RB JJ', 'money paid for the use of money'
'slowing revenues whose companies', 'rates longer accommodative bifurcated', 'VBG NNS WP NNS', 'NNS RB JJ JJ', 'money paid for the use of money'
'international due - end', 'rate differentials choreographed trading', 'JJ RB ? NN', 'NN NNS JJ NN', 'money paid for the use of money'
'foreign-investor inspire - importers', '', 'NN VB ? NNS', '', 'readiness to give attention'
'annual % 9X65 carries', 'rate approved scientific-atlanta $', 'JJ NN AB VBZ', 'NN VBN NP NN', 'money paid for the use of money'
'short-term', 'rates rose government Xs', 'JJ', 'NNS VBD NN POS', 'money paid for the use of money'
'auction bill management cash', 'rate 8X07 % bills', 'NN NN NN NN', 'NN AB NN NNS', 'money paid for the use of money'
'reset forced union western', 'rate senior secured notes', 'VB VBN NP NP', 'NN JJ VBN NNS', 'money paid for the use of money'
'annual Xs firm increased', 'payments $ 13X8 million', 'JJ POS NN VBD', 'NNS NN AB AB', 'money paid for the use of money'
'arouses anything nXt impression', 'first glance says official', 'VBZ NN RB NN', 'JJ NN VBZ NN', 'readiness to give attention'
'bit detected also survey', 'golf positive sign country', 'NN VBD RB NN', 'NN JJ NN NN', 'readiness to give attention'
'increases indirectly move inflation-fighting', 'rates charged new home', 'VBZ RB NN JJ', 'NNS VBN JJ NN', 'money paid for the use of money'
'suspended debt foreign billion', 'payments last month', 'VBD NN JJ AB', 'NNS JJ NN', 'money paid for the use of money'
'personal families time wants', 'says john hX moxley', 'JJ NNS NN VBZ', 'VBZ NP NP NP', 'activity, etc. that one gives attention to'
'much generated approach', 'nyu host first conference', 'JJ VBN NN', 'NP NN JJ NN', 'readiness to give attention'
'investor', 'stock funds nXt stalled', 'NN', 'NN NNS RB VBN', 'readiness to give attention'
'western', 'see mrX gorbachev succeed', 'JJ', 'VB NP NP VB', 'advantage, advancement or favor'
'expression simply proposal insists', 'chapter 11 revco exclusivity', 'NN RB NN VBZ', 'NP AB NP NN', 'readiness to give attention'
'preserve community business allow', 'probably restricting competition', 'VB NN NN VB', 'RB VBG NN', 'advantage, advancement or favor'
'books Xs citicorp profitable', 'charges new york bank', 'NNS POS NP JJ', 'VBZ NP NP NN', 'money paid for the use of money'
'may experience baseball Xs', 'cbs incX next season', 'MD NN NN POS', 'NP NP JJ NN', 'quality of causing attention to be given to'
'', 'instead decreased', '', 'RB VBD', 'readiness to give attention'
'', 'waned day wore investors', '', 'VBD NN VBD NNS', 'readiness to give attention'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'annualized', 'rates certain investments reported', 'VBN', 'NNS JJ NNS VBN', 'money paid for the use of money'
'annual % 19X25 paying', 'set come due 1992', 'JJ NN AB VBG', 'VBN VB RB AB', 'money paid for the use of money'
'lower paying issues new', '', 'JJR VBG NNS JJ', '', 'money paid for the use of money'
'allowed provisions reset burdensome', 'rate raised 19X25 %', 'VBD NNS NN JJ', 'NN VBN AB NN', 'money paid for the use of money'
'paying note 500 $', 'rate starting 16X75 %', 'VBG NN AB NN', 'NN VBG AB NN', 'money paid for the use of money'
'million 48 $ make', 'payments reset notes decX', 'AB AB NN VB', 'NNS NN NNS NP', 'money paid for the use of money'
'lower said union western', 'rate debt regain full', 'VB VBD NP NP', 'NN NN VB JJ', 'money paid for the use of money'
'protect acting said statement', 'shareholder navigation mixte', 'VB VBG VBD NN', 'NN NP NP', 'advantage, advancement or favor'
'protect acting statement said', 'ties navigation mixte partner', 'VB VBG NN VBD', 'VBZ NP NP NN', 'a share in a company or business'
'gas oil alberta certain', 'amoco corpX Xs canadian', 'NN NN NP JJ', 'NP NP POS JJ', 'a share in a company or business'
'summer spring past loans', 'rates dipped', 'NN NN JJ NNS', 'NNS VBD', 'money paid for the use of money'
'already products plastic paper', 'tissue businesses france spain', 'RB NNS NN NN', 'NN NNS NP NP', 'a share in a company or business'
'british high relatively maintain', 'rates', 'JJ JJ RB VB', 'NNS', 'money paid for the use of money'
'higher even analyst london-based', 'rates nXt help pound', 'JJR RB NN JJ', 'NNS RB VB NN', 'money paid for the use of money'
'% 51 sell agreed', 'mitsubishi estate major japanese', 'NN AB VB VBD', 'NP NP JJ JJ', 'a share in a company or business'
'% 10 retain research', 'new company based colorado', 'NN AB VB NP', 'JJ NN VBN NP', 'a share in a company or business'
'reduce offer exchange made', 'payments', 'VB NN NN VBD', 'NNS', 'money paid for the use of money'
'resolved dangerous potentially wasteful', 'national security mrX lehman', 'VBN JJ RB JJ', 'JJ NN NP NP', 'advantage, advancement or favor'
'business pursue resigned corr', 'airline said', 'NN VB VBD NP', 'NN VBD', 'activity, etc. that one gives attention to'
'took pANDg cincinnati-based', 'ordered two studies psyllium', 'VBD NP JJ', 'VBD AB NNS NN', 'readiness to give attention'
'', 'emigration investment abroad soaring', '', 'NN NN RB VBG', 'readiness to give attention'
'net', 'income third quarter declined', 'JJ', 'NN JJ NN VBD', 'money paid for the use of money'
'years 34 term issued', 'rate 8 %', 'NNS AB NN VBN', 'NN AB NN', 'money paid for the use of money'
'fees legal penalties claiming', 'driven value claim $', 'NNS JJ NNS VBG', 'VBN NN NN NN', 'money paid for the use of money'
'cost after-tax bonds redeeming', 'bonds higher dividend yield', 'NN JJ NNS JJ', 'NNS JJR NN NN', 'money paid for the use of money'
'shown enquirer national editors', '', 'VBN NP NP NNS', '', 'readiness to give attention'
'high impervious almost seemed', 'rates mrX lawson deployed', 'JJ JJ RB VBN', 'NNS NP NP VBD', 'money paid for the use of money'
'high requirements reserve banks', 'rates less likely curb', 'JJ NNS NN NNS', 'NNS RBR JJ VB', 'money paid for the use of money'
'aggregates neither money demand', 'rates', 'NNS DT NN NN', 'NNS', 'money paid for the use of money'
'time leaving delegate rather', 'outside office', 'NN VBG VB RB', 'IN NN', 'activity, etc. that one gives attention to'
'earnings Xs company', 'taxes depreciation bondholders measurement', 'NNS POS NN', 'NNS NN NNS NN', 'money paid for the use of money'
'earnings businesses excluding', 'taxes depreciation 1988 $', 'NNS NNS VBG', 'NNS NN AB NN', 'money paid for the use of money'
'real-estate basis undervalued companies', '', 'NN NN VBN NNS', '', 'a share in a company or business'
'million 100 $ pay', 'every quarter top $', 'AB AB NN VB', 'DT NN NN NN', 'money paid for the use of money'
'long-term said', 'rates 9 % drop', 'JJ VBD', 'NNS AB NN VB', 'money paid for the use of money'
'believe people something says', 'rates nosedive', 'VBP NNS NN VBZ', 'NNS JJ', 'money paid for the use of money'
'expected better much look', 'rates generally declined inflation', 'VBD RB RB VBP', 'NNS RB VBN NN', 'money paid for the use of money'
'pushed policy monetary tightened', 'rates 15 %', 'VBD NN JJ VBD', 'NNS AB NN', 'money paid for the use of money'
'mortgage doubled', 'rates many new homeowners', 'NN VBD', 'NNS JJ JJ NNS', 'money paid for the use of money'
'high inflation renewed deficit', 'rates - three political', 'JJ NN VBN NN', 'NNS ? AB JJ', 'money paid for the use of money'
'high response flows financial', 'rates', 'JJ NN NNS JJ', 'NNS', 'money paid for the use of money'
'falls currency', 'rates raised attract financial', 'VBZ NN', 'NNS VBN VB JJ', 'money paid for the use of money'
'coal australian Xs coX', '$ 275 million', 'NN JJ POS NP', 'NN AB AB', 'a share in a company or business'
'great overseas technology applications', 'games skill', 'JJ RB NN NNS', 'NNS NN', 'readiness to give attention'
'time first showed report', 'paid public debt -', 'NN JJ VBD NN', 'VBN JJ NN ?', 'money paid for the use of money'
'accrued', 'refund $ 18 million', 'VBN', 'NN NN AB AB', 'money paid for the use of money'
'refunds income-tax federal million', 'court ruling tax dispute', 'NNS JJ JJ AB', 'NN VBG NN NN', 'money paid for the use of money'
'equity % 55 billion', 'partner metromedia coX new', 'NN NN AB AB', 'NN NP NP NP', 'a share in a company or business'
'cover sufficient flow cash', 'payments debt estimated company', 'VB JJ NN NN', 'NNS NN VBD NN', 'money paid for the use of money'
'controlling % 50X3 mccaw', '', 'VBG NN AB NP', '', 'a share in a company or business'
'% 50 bellsouth atlanta-based', 'new cellular company responsible', 'NN AB NP JJ', 'JJ JJ NN JJ', 'a share in a company or business'
'public well asked mccaw', 'served bell operating companies', 'JJ RB VBD NP', 'VBN NP VBG NNS', 'advantage, advancement or favor'
'buying substantial lack friday', '', 'NN JJ NN NP', '', 'readiness to give attention'
'high inflation sick economy', 'rates heavy trade deficit', 'JJ NN JJ NN', 'NNS JJ NN NN', 'money paid for the use of money'
'move authorities frankfurt kind', 'rates', 'VBP NNS NP NN', 'NNS', 'money paid for the use of money'
'coX trust irving unit', 'rates irving Xs former', 'NP NP NP NN', 'NNS NP POS JJ', 'money paid for the use of money'
'less paying irving accused', 'promised marketing brochure', 'JJR VBG NP VBD', 'VBN NN NN', 'money paid for the use of money'
'funds federal key week', 'rate largely controlled fed', 'NNS JJ JJ NN', 'NN RB VBN NP', 'money paid for the use of money'
'public innovation research consequences', '', 'JJ NN NN NNS', '', 'advantage, advancement or favor'
'annual foreign uXsX key', 'rates guide general levels', 'JJ JJ NP JJ', 'NNS NN JJ NNS', 'money paid for the use of money'
'little maneuver arcane like', 'outside washington set political', 'JJ NN JJ IN', 'IN NP VB JJ', 'quality of causing attention to be given to'
'much republicans', 'democrats way system works', 'JJ NPS', 'NPS NN NN VBZ', 'readiness to give attention'
'behind million 300 $', 'payments', 'RB AB AB NN', 'NNS', 'money paid for the use of money'
'% 14 6 bonds', 'rate', 'NN AB AB NNS', 'NN', 'money paid for the use of money'
'banks government-controlled funds source', 'rates prime borrowers around', 'NNS JJ NNS NN', 'NNS JJ NNS RB', 'money paid for the use of money'
'best says process close', 'cbs news comment work', 'JJS VBZ NN RB', 'NP NP VB NN', 'advantage, advancement or favor'
'obligations debt reduce debentures', 'expense', 'NNS NN VB NNS', 'NN', 'money paid for the use of money'
'cash reduced value face', '', 'NN JJ NN NN', '', 'money paid for the use of money'
'controlling represent total leaseway', 'company', 'VBG VB NN NP', 'NN', 'a share in a company or business'
'investor light months time', 'metals', 'NN JJ NNS NN', 'NNS', 'readiness to give attention'
'effective addition', 'rate $ 410 million', 'JJ NN', 'NN NN AB AB', 'money paid for the use of money'
'million 4 $ company', 'expenses next year six', 'AB AB NN NN', 'NNS IN NN AB', 'money paid for the use of money'
'time risen yields bonds', 'rates generally fallen portfolio', 'NN VBN NNS NNS', 'NNS RB VBN NN', 'money paid for the use of money'
'decline relative slowly price', 'rates', 'NN JJ RB NN', 'NNS', 'money paid for the use of money'
'much nXt program see', '', 'JJ RB NN VB', '', 'readiness to give attention'
'showing advertisers', '', 'VBG NNS', '', 'readiness to give attention'
'municipal-bond Xs', 'exempt federal income tax', 'JJ VBZ', 'JJ JJ NN NN', 'money paid for the use of money'
'prevailing year rolling money', 'rates', 'JJ NN VBG NN', 'NNS', 'money paid for the use of money'
'make order fluctuation price', 'rates decline next year', 'VB NN NN NN', 'NNS VB JJ NN', 'money paid for the use of money'
'losses even returns disappointing', 'rates rise instead', 'NNS JJ NNS JJ', 'NNS VBP RB', 'money paid for the use of money'
'', 'rates nXt change bond', '', 'NNS RB VB NN', 'money paid for the use of money'
'', 'rate guaranteed one seven', '', 'NN VBN AB AB', 'money paid for the use of money'
'% 8X8 offers chicago', 'one year 9 %', 'NN AB VBZ NP', 'AB NN AB NN', 'money paid for the use of money'
'market track returns floating', 'rates slight lag', 'NN VBP NNS VBG', 'NNS JJ NN', 'money paid for the use of money'
'national needs exaggerate deliberately', 'words justified committing crime', 'JJ NNS VB RB', 'NNS JJ VBG NN', 'advantage, advancement or favor'
'threats neutralizes thinking way', 'manner consistent financial cultural', 'NNS VBZ NN NN', 'NN JJ JJ JJ', 'advantage, advancement or favor'
'uXsX lower times tough', 'rates continue undermine dollar', 'NP JJR NNS JJ', 'NNS VBP VB NN', 'money paid for the use of money'
'uXsX decline recent weakness', 'rates diminished attractiveness dollar-denominated', 'NP NN JJ NN', 'NNS VBN NN JJ', 'money paid for the use of money'
