% File: interest_3-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'holds 35 %', 'trading company hopes', 'VBZ AB NN', 'NN NN VBZ', 'a share in a company or business'
'competed customers primarily', 'rates pay deposits', 'VBN NNS RB', 'NNS VBP NNS', 'money paid for the use of money'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'1X64 million semiannual', 'payment due yesterday', 'AB AB JJ', 'NN JJ NN', 'money paid for the use of money'
'declared illegal variety', 'rate swap transactions', 'VBD JJ NN', 'NN NN NNS', 'money paid for the use of money'
'% sterling market', 'rate swap dealings', 'NN NN NN', 'NN NN NNS', 'money paid for the use of money'
'two parties engage', 'rate swap betting', 'AB NNS VBP', 'NN NN VBG', 'money paid for the use of money'
'obligated make fixed-rate', 'payments debt swaps', 'VBD VB JJ', 'NNS NN NNS', 'money paid for the use of money'
'', 'rates rose municipalities', '', 'NNS VBD NNS', 'money paid for the use of money'
'coX noting growing', '900 service stock', 'NP VBG VBG', 'AB NN NN', 'readiness to give attention'
'rather see dealing', 'rates deficit', 'RB VB VBG', 'NNS NN', 'money paid for the use of money'
'fourth series bonds', 'subject federal alternative', 'JJ NN NNS', 'JJ JJ NN', 'money paid for the use of money'
'fielded every important', 'team - popular', 'VBD DT JJ', 'NN ? JJ', 'advantage, advancement or favor'
'victims protecting national', 'encouraging new drugs', 'NNS VBG JJ', 'VBG JJ NNS', 'advantage, advancement or favor'
'sidelines uncertainty regarding', 'rates dollar', 'NNS NN VBG', 'NNS NN', 'money paid for the use of money'
'uXsX currency investor', 'directed toward oil', 'NP NN NN', 'VBN IN NN', 'readiness to give attention'
'dealers said investor', 'focused defensive blue-chip', 'NNS VBD NN', 'VBN JJ JJ', 'readiness to give attention'
'measures price changes', 'income', 'VBZ NN NNS', 'NN', 'money paid for the use of money'
'clothing company Xs', 'expense exceeds operating', 'NN NN POS', 'NN VBZ NN', 'money paid for the use of money'
'holdings incX signal', 'helping revive failed', 'NPS NP VB', 'VBG VB VBN', 'readiness to give attention'
'% 20 %', 'chain january said', 'NN AB NN', 'NN NP VBD', 'a share in a company or business'
'manager pursue unspecified', 'move news organization', 'NN VB JJ', 'NN NN NN', 'activity, etc. that one gives attention to'
'company also cited', 'costs amortization goodwill', 'NN RB VBD', 'NNS NN NN', 'money paid for the use of money'
'point toward decline', 'rates', 'VB IN NN', 'NNS', 'money paid for the use of money'
'stock mcalpine family', '$ 1 million', 'NN NP NN', 'NN AB AB', 'a share in a company or business'
'assuming dramatic fluctuation', 'rates association expects', 'VBG JJ NN', 'NNS NN VBZ', 'money paid for the use of money'
'pressure cut short-term', 'rates due apparent', 'NN VB JJ', 'NNS JJ JJ', 'money paid for the use of money'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'jaguar Xs best', 'company Xs future', 'NP POS JJS', 'NN POS NN', 'advantage, advancement or favor'
'septX 19 announcement', 'minority stake', 'NP AB NN', 'NN NN', 'readiness to give attention'
'already buffeted high', 'rates slowing economy', 'RB VBN JJ', 'NNS VBG NN', 'money paid for the use of money'
'going pursue', 'mrX jahn said', 'VBG VB', 'NP NP VBD', 'activity, etc. that one gives attention to'
'failed attract investor', 'remained sluggish making', 'VBD VB NN', 'VBD JJ VBG', 'readiness to give attention'
'first said domestic', 'rates likely stay', 'LS VBD JJ', 'NNS JJ VB', 'money paid for the use of money'
'counter direction short-term', 'rates treasury bill', 'RB NN JJ', 'NNS NP NN', 'money paid for the use of money'
'market', 'rates move rapidly', 'NN', 'NNS VBP RB', 'money paid for the use of money'
'AND neave also', 'packaging beer dairy', 'CC NP RB', 'NN NN NN', 'a share in a company or business'
'company Xs levels', 'coverage internal cash', 'NN POS NNS', 'NN JJ NN', 'money paid for the use of money'
'quick call lower', 'rates 60 %', 'JJ VB JJR', 'NNS AB NN', 'money paid for the use of money'
'less inflation bring', 'rates', 'RBR NN VB', 'NNS', 'money paid for the use of money'
'average', 'rate rose 8X3875', 'JJ', 'NN VBD AB', 'money paid for the use of money'
'initially showed little', 'impression federal security', 'RB VBD JJ', 'NN JJ NN', 'readiness to give attention'
'white took quick', 'mrX stoll Xs', 'NP VBD JJ', 'NP NP POS', 'readiness to give attention'
'higher', 'rates paid off-budget', 'JJR', 'NNS VBN JJ', 'money paid for the use of money'
'includes swap timber', 'result $ 13X5', 'VBZ NN NN', 'VB NN AB', 'a share in a company or business'
'three banks owed', 'october negotiations third', 'AB NNS VBD', 'NP NNS JJ', 'money paid for the use of money'
'% stake healthvest', 'certain facilities', 'NN NN NP', 'JJ NNS', 'a share in a company or business'
'owned secret illegal', 'beer distributorship plotted', 'VBD JJ JJ', 'NN NN VBD', 'a share in a company or business'
'plotted hidden ownership', 'real estate presented', 'VBD JJ NN', 'JJ NN VBD', 'a share in a company or business'
'Xs loan lowered', 'rate accepted trade-in', 'POS NN VBD', 'NN VBD NN', 'money paid for the use of money'
'later wrote complain', 'paying unsecured $', 'RB VBD VB', 'VBG JJ NN', 'money paid for the use of money'
'7X0826 % true', 'cost', 'AB NN JJ', 'NN', 'money paid for the use of money'
'7X0808 % true', 'cost', 'AB NN JJ', 'NN', 'money paid for the use of money'
'', 'bonds treated preference', '', 'NNS VBN NN', 'money paid for the use of money'
'burned big downturn', 'rates years back', 'VBN JJ NN', 'NNS NNS RB', 'money paid for the use of money'
'explain drum investor', 'mortgage securities', 'VB VB NN', 'NN NNS', 'readiness to give attention'
'', 'great deal higher', '', 'JJ NN JJR', 'readiness to give attention'
'demand help drive', 'rates mortgage securities', 'NN VB VB', 'NNS NN NNS', 'money paid for the use of money'
'mortgage securities pay', 'monthly since mortgages', 'NN NNS VBP', 'RB IN NNS', 'money paid for the use of money'
'position pursue long-term', 'corporation', 'NN VB JJ', 'NN', 'advantage, advancement or favor'
'enfield holding company', 'manufacturing concerns', 'NP VBG NN', 'VBG NNS', 'a share in a company or business'
'ends despite growing', 'environment uXsX consumers', 'NNS IN VBG', 'NN NP NNS', 'readiness to give attention'
'nXt shown much', 'refillable packages household', 'RB VBN JJ', 'JJ NNS NN', 'readiness to give attention'
'pay', '115 months principal', 'VBP', 'AB NNS JJ', 'money paid for the use of money'
'federal reserve eases', 'rates', 'NP NP VBZ', 'NNS', 'money paid for the use of money'
'dollar pressured narrowing', 'rate differentials uXsX', 'NN VBN NN', 'NN NNS NP', 'money paid for the use of money'
'reserve relaxed short-term', 'rates knocking fed', 'NP VBD JJ', 'NNS VBG VBN', 'money paid for the use of money'
'volatility lower uXsX', 'rates signs slowing', 'NN JJR NP', 'NNS NNS VBG', 'money paid for the use of money'
'whose value rises', 'rates decline', 'WP NN VBZ', 'NNS VBP', 'money paid for the use of money'
'said expects uXsX', 'rates decline dragging', 'VBD VBZ NP', 'NNS VB VBG', 'money paid for the use of money'
'west german', 'rates said remain', 'JJ JJ', 'NNS VBD VB', 'money paid for the use of money'
'downward trend uXsX', 'rates shaky stock', 'JJ NN NP', 'NNS JJ NN', 'money paid for the use of money'
'banking corpX Xs', 'rate options group', 'NP NP POS', 'NN NNS NN', 'money paid for the use of money'
'products including swaps', 'rate options', 'NNS VBG NNS', 'NN NNS', 'money paid for the use of money'
'totally different problems', 'rate options unit', 'RB JJ NNS', 'NN NNS NN', 'money paid for the use of money'
'agreements failed envision', 'rate environment short-term', 'NNS VBD VB', 'NN NN JJ', 'money paid for the use of money'
'incidents involving', 'rate options forward-rate', 'NNS VBG', 'NN NNS JJ', 'money paid for the use of money'
'', 'rate options contract', '', 'NN NNS NN', 'money paid for the use of money'
'ago chemical Xs', 'rate options group', 'RB NP POS', 'NN NNS NN', 'money paid for the use of money'
'ago chemical Xs', 'rate options group', 'RB NP POS', 'NN NNS NN', 'money paid for the use of money'
'seidman afl-cio finding', 'unlikely quarter big', 'NP NP VBG', 'JJ NN JJ', 'readiness to give attention'
'cynical new corporate', 'health-care overhaul', 'JJ JJ JJ', 'NN NN', 'readiness to give attention'
'federal reserve eases', 'rates soon stimulate', 'NP NP VBZ', 'NNS RB VB', 'money paid for the use of money'
'half payments minority', 'surged 188 million', 'NN NNS NN', 'VBD AB AB', 'a share in a company or business'
'francs payments minority', 'revenue 50 billion', 'NNS NNS NN', 'NN AB AB', 'a share in a company or business'
'', 'rate sensitives nXt', '', 'NN NNS RB', 'money paid for the use of money'
'economy immediate outlook', 'rates', 'NN JJ NN', 'NNS', 'money paid for the use of money'
'importance broad spectrum', 'congress administration', 'NN JJ NN', 'NP NN', 'activity, etc. that one gives attention to'
'10 % net-profits', 'certain oil gas', 'AB NN JJ', 'JJ NN NN', 'a share in a company or business'
'said loan carries', 'rate prime plus', 'VBD NN VBZ', 'NN JJ CC', 'money paid for the use of money'
'sell 20 %', 'real estate unit', 'VB AB NN', 'JJ NN NN', 'a share in a company or business'
'profit tax minority', 'extraordinary items rose', 'NN NN NN', 'JJ NNS VBD', 'a share in a company or business'
'$ 18 million', 'saudi european bank', 'NN AB AB', 'NP NP NP', 'a share in a company or business'
'showed pretty general', 'stocks latest session', 'VBD RB JJ', 'NNS JJS NN', 'readiness to give attention'
'ogden projects', 'solid-waste recovery hazardous-waste', 'NP NPS', 'NN NN NN', 'a share in a company or business'
'ogden corpX also', 'building maintenance management', 'NP NP RB', 'NN NN NN', 'a share in a company or business'
'phelan Xs', 'building electronic marketplace', 'NN POS', 'VBG JJ NN', 'activity, etc. that one gives attention to'
'federal reserve lower', 'rates', 'NP NP VB', 'NNS', 'money paid for the use of money'
'ability pinpoint trough', 'rate cycles', 'NN VB NN', 'JJ NNS', 'money paid for the use of money'
'federal reserve raised', 'rates ibm offered', 'NP NP VBD', 'NNS NP VBD', 'money paid for the use of money'
'bearish due speculation', 'rates rise', 'JJ RB NN', 'NNS VB', 'money paid for the use of money'
'interpreted sign higher', 'rates possible', 'VBN NN JJR', 'NNS JJ', 'money paid for the use of money'
'investors clearly revived', 'gold utility shares', 'NNS RB VBN', 'NN NN NNS', 'readiness to give attention'
'produce lower short-term', 'rates next 30', 'VB JJR JJ', 'NNS JJ AB', 'money paid for the use of money'
'name underlined growing', 'british concern', 'NN VBD VBG', 'JJ NN', 'readiness to give attention'
'fading expectation lower', 'rates made investors', 'JJ NN JJR', 'NNS VBD NNS', 'money paid for the use of money'
'peruvian days show', 'public office heroic', 'NP NNS VB', 'JJ NN JJ', 'readiness to give attention'
'current plans sell', '', 'JJ NNS VB', '', 'a share in a company or business'
'company rockefeller family', '', 'NN NP NN', '', 'a share in a company or business'
'issues attracted buying', 'however jones industrial', 'NNS VBD NN', 'RB NP NP', 'readiness to give attention'
'realization', 'rates firm due', 'NN', 'NNS JJ RB', 'money paid for the use of money'
'whose revenues slowing', 'rates longer accommodative', 'WP NNS VBG', 'NNS RB JJ', 'money paid for the use of money'
'- due international', 'rate differentials choreographed', '? RB JJ', 'NN NNS JJ', 'money paid for the use of money'
'- inspire foreign-investor', '', '? VB NN', '', 'readiness to give attention'
'9X65 % annual', 'rate approved scientific-atlanta', 'AB NN JJ', 'NN VBN NP', 'money paid for the use of money'
'short-term', 'rates rose government', 'JJ', 'NNS VBD NN', 'money paid for the use of money'
'management bill auction', 'rate 8X07 %', 'NN NN NN', 'NN AB NN', 'money paid for the use of money'
'union forced reset', 'rate senior secured', 'NP VBN VB', 'NN JJ VBN', 'money paid for the use of money'
'firm Xs annual', 'payments $ 13X8', 'NN POS JJ', 'NNS NN AB', 'money paid for the use of money'
'nXt anything arouses', 'first glance says', 'RB NN VBZ', 'JJ NN VBZ', 'readiness to give attention'
'also detected bit', 'golf positive sign', 'RB VBD NN', 'NN JJ NN', 'readiness to give attention'
'move indirectly increases', 'rates charged new', 'NN RB VBZ', 'NNS VBN JJ', 'money paid for the use of money'
'foreign debt suspended', 'payments last month', 'JJ NN VBD', 'NNS JJ NN', 'money paid for the use of money'
'time families personal', 'says john hX', 'NN NNS JJ', 'VBZ NP NP', 'activity, etc. that one gives attention to'
'approach generated much', 'nyu host first', 'NN VBN JJ', 'NP NN JJ', 'readiness to give attention'
'investor', 'stock funds nXt', 'NN', 'NN NNS RB', 'readiness to give attention'
'western', 'see mrX gorbachev', 'JJ', 'VB NP NP', 'advantage, advancement or favor'
'proposal simply expression', 'chapter 11 revco', 'NN RB NN', 'NP AB NP', 'readiness to give attention'
'business community preserve', 'probably restricting competition', 'NN NN VB', 'RB VBG NN', 'advantage, advancement or favor'
'citicorp Xs books', 'charges new york', 'NP POS NNS', 'VBZ NP NP', 'money paid for the use of money'
'baseball experience may', 'cbs incX next', 'NN NN MD', 'NP NP JJ', 'quality of causing attention to be given to'
'', 'instead decreased', '', 'RB VBD', 'readiness to give attention'
'', 'waned day wore', '', 'VBD NN VBD', 'readiness to give attention'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'annualized', 'rates certain investments', 'VBN', 'NNS JJ NNS', 'money paid for the use of money'
'19X25 % annual', 'set come due', 'AB NN JJ', 'VBN VB RB', 'money paid for the use of money'
'issues paying lower', '', 'NNS VBG JJR', '', 'money paid for the use of money'
'reset provisions allowed', 'rate raised 19X25', 'NN NNS VBD', 'NN VBN AB', 'money paid for the use of money'
'500 note paying', 'rate starting 16X75', 'AB NN VBG', 'NN VBG AB', 'money paid for the use of money'
'$ 48 million', 'payments reset notes', 'NN AB AB', 'NNS NN NNS', 'money paid for the use of money'
'union said lower', 'rate debt regain', 'NP VBD VB', 'NN NN VB', 'money paid for the use of money'
'said acting protect', 'shareholder navigation mixte', 'VBD VBG VB', 'NN NP NP', 'advantage, advancement or favor'
'statement acting protect', 'ties navigation mixte', 'NN VBG VB', 'VBZ NP NP', 'a share in a company or business'
'alberta oil gas', 'amoco corpX Xs', 'NP NN NN', 'NP NP POS', 'a share in a company or business'
'past spring summer', 'rates dipped', 'JJ NN NN', 'NNS VBD', 'money paid for the use of money'
'plastic products already', 'tissue businesses france', 'NN NNS RB', 'NN NNS NP', 'a share in a company or business'
'relatively high british', 'rates', 'RB JJ JJ', 'NNS', 'money paid for the use of money'
'analyst even higher', 'rates nXt help', 'NN RB JJR', 'NNS RB VB', 'money paid for the use of money'
'sell 51 %', 'mitsubishi estate major', 'VB AB NN', 'NP NP JJ', 'a share in a company or business'
'retain 10 %', 'new company based', 'VB AB NN', 'JJ NN VBN', 'a share in a company or business'
'exchange offer reduce', 'payments', 'NN NN VB', 'NNS', 'money paid for the use of money'
'potentially dangerous resolved', 'national security mrX', 'RB JJ VBN', 'JJ NN NP', 'advantage, advancement or favor'
'resigned pursue business', 'airline said', 'VBD VB NN', 'NN VBD', 'activity, etc. that one gives attention to'
'cincinnati-based pANDg took', 'ordered two studies', 'JJ NP VBD', 'VBD AB NNS', 'readiness to give attention'
'', 'emigration investment abroad', '', 'NN NN RB', 'readiness to give attention'
'net', 'income third quarter', 'JJ', 'NN JJ NN', 'money paid for the use of money'
'term 34 years', 'rate 8 %', 'NN AB NNS', 'NN AB NN', 'money paid for the use of money'
'penalties legal fees', 'driven value claim', 'NNS JJ NNS', 'VBN NN NN', 'money paid for the use of money'
'bonds after-tax cost', 'bonds higher dividend', 'NNS JJ NN', 'NNS JJR NN', 'money paid for the use of money'
'national enquirer shown', '', 'NP NP VBN', '', 'readiness to give attention'
'almost impervious high', 'rates mrX lawson', 'RB JJ JJ', 'NNS NP NP', 'money paid for the use of money'
'reserve requirements high', 'rates less likely', 'NN NNS JJ', 'NNS RBR JJ', 'money paid for the use of money'
'money neither aggregates', 'rates', 'NN DT NNS', 'NNS', 'money paid for the use of money'
'delegate leaving time', 'outside office', 'VB VBG NN', 'IN NN', 'activity, etc. that one gives attention to'
'company Xs earnings', 'taxes depreciation bondholders', 'NN POS NNS', 'NNS NN NNS', 'money paid for the use of money'
'excluding businesses earnings', 'taxes depreciation 1988', 'VBG NNS NNS', 'NNS NN AB', 'money paid for the use of money'
'undervalued basis real-estate', '', 'VBN NN NN', '', 'a share in a company or business'
'$ 100 million', 'every quarter top', 'NN AB AB', 'DT NN NN', 'money paid for the use of money'
'said long-term', 'rates 9 %', 'VBD JJ', 'NNS AB NN', 'money paid for the use of money'
'something people believe', 'rates nosedive', 'NN NNS VBP', 'NNS JJ', 'money paid for the use of money'
'much better expected', 'rates generally declined', 'RB RB VBD', 'NNS RB VBN', 'money paid for the use of money'
'monetary policy pushed', 'rates 15 %', 'JJ NN VBD', 'NNS AB NN', 'money paid for the use of money'
'doubled mortgage', 'rates many new', 'VBD NN', 'NNS JJ JJ', 'money paid for the use of money'
'renewed inflation high', 'rates - three', 'VBN NN JJ', 'NNS ? AB', 'money paid for the use of money'
'flows response high', 'rates', 'NNS NN JJ', 'NNS', 'money paid for the use of money'
'currency falls', 'rates raised attract', 'NN VBZ', 'NNS VBN VB', 'money paid for the use of money'
'Xs australian coal', '$ 275 million', 'POS JJ NN', 'NN AB AB', 'a share in a company or business'
'technology overseas great', 'games skill', 'NN RB JJ', 'NNS NN', 'readiness to give attention'
'showed first time', 'paid public debt', 'VBD JJ NN', 'VBN JJ NN', 'money paid for the use of money'
'accrued', 'refund $ 18', 'VBN', 'NN NN AB', 'money paid for the use of money'
'federal income-tax refunds', 'court ruling tax', 'JJ JJ NNS', 'NN VBG NN', 'money paid for the use of money'
'55 % equity', 'partner metromedia coX', 'AB NN NN', 'NN NP NP', 'a share in a company or business'
'flow sufficient cover', 'payments debt estimated', 'NN JJ VB', 'NNS NN VBD', 'money paid for the use of money'
'50X3 % controlling', '', 'AB NN VBG', '', 'a share in a company or business'
'bellsouth 50 %', 'new cellular company', 'NP AB NN', 'JJ JJ NN', 'a share in a company or business'
'asked well public', 'served bell operating', 'VBD RB JJ', 'VBN NP VBG', 'advantage, advancement or favor'
'lack substantial buying', '', 'NN JJ NN', '', 'readiness to give attention'
'sick inflation high', 'rates heavy trade', 'JJ NN JJ', 'NNS JJ NN', 'money paid for the use of money'
'frankfurt authorities move', 'rates', 'NP NNS VBP', 'NNS', 'money paid for the use of money'
'irving trust coX', 'rates irving Xs', 'NP NP NP', 'NNS NP POS', 'money paid for the use of money'
'irving paying less', 'promised marketing brochure', 'NP VBG JJR', 'VBN NN NN', 'money paid for the use of money'
'key federal funds', 'rate largely controlled', 'JJ JJ NNS', 'NN RB VBN', 'money paid for the use of money'
'research innovation public', '', 'NN NN JJ', '', 'advantage, advancement or favor'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'arcane maneuver little', 'outside washington set', 'JJ NN JJ', 'IN NP VB', 'quality of causing attention to be given to'
'republicans much', 'democrats way system', 'NPS JJ', 'NPS NN NN', 'readiness to give attention'
'300 million behind', 'payments', 'AB AB RB', 'NNS', 'money paid for the use of money'
'6 14 %', 'rate', 'AB AB NN', 'NN', 'money paid for the use of money'
'funds government-controlled banks', 'rates prime borrowers', 'NNS JJ NNS', 'NNS JJ NNS', 'money paid for the use of money'
'process says best', 'cbs news comment', 'NN VBZ JJS', 'NP NP VB', 'advantage, advancement or favor'
'reduce debt obligations', 'expense', 'VB NN NNS', 'NN', 'money paid for the use of money'
'value reduced cash', '', 'NN JJ NN', '', 'money paid for the use of money'
'total represent controlling', 'company', 'NN VB VBG', 'NN', 'a share in a company or business'
'months light investor', 'metals', 'NNS JJ NN', 'NNS', 'readiness to give attention'
'addition effective', 'rate $ 410', 'NN JJ', 'NN NN AB', 'money paid for the use of money'
'$ 4 million', 'expenses next year', 'NN AB AB', 'NNS IN NN', 'money paid for the use of money'
'yields risen time', 'rates generally fallen', 'NNS VBN NN', 'NNS RB VBN', 'money paid for the use of money'
'slowly relative decline', 'rates', 'RB JJ NN', 'NNS', 'money paid for the use of money'
'program nXt much', '', 'NN RB JJ', '', 'readiness to give attention'
'advertisers showing', '', 'NNS VBG', '', 'readiness to give attention'
'Xs municipal-bond', 'exempt federal income', 'VBZ JJ', 'JJ JJ NN', 'money paid for the use of money'
'rolling year prevailing', 'rates', 'VBG NN JJ', 'NNS', 'money paid for the use of money'
'fluctuation order make', 'rates decline next', 'NN NN VB', 'NNS VB JJ', 'money paid for the use of money'
'returns even losses', 'rates rise instead', 'NNS JJ NNS', 'NNS VBP RB', 'money paid for the use of money'
'', 'rates nXt change', '', 'NNS RB VB', 'money paid for the use of money'
'', 'rate guaranteed one', '', 'NN VBN AB', 'money paid for the use of money'
'offers 8X8 %', 'one year 9', 'VBZ AB NN', 'AB NN AB', 'money paid for the use of money'
'returns track market', 'rates slight lag', 'NNS VBP NN', 'NNS JJ NN', 'money paid for the use of money'
'exaggerate needs national', 'words justified committing', 'VB NNS JJ', 'NNS JJ VBG', 'advantage, advancement or favor'
'thinking neutralizes threats', 'manner consistent financial', 'NN VBZ NNS', 'NN JJ JJ', 'advantage, advancement or favor'
'times lower uXsX', 'rates continue undermine', 'NNS JJR NP', 'NNS VBP VB', 'money paid for the use of money'
'recent decline uXsX', 'rates diminished attractiveness', 'JJ NN NP', 'NNS VBN NN', 'money paid for the use of money'
'relatively high british', 'rates said working', 'RB JJ JJ', 'NNS VBD VBG', 'money paid for the use of money'
'lack strong buying', 'yen another boon', 'NN JJ NN', 'NN DT NN', 'readiness to give attention'
'japanese investors X', 'buying dollars yen', 'JJ NNS POS', 'VBG NNS NN', 'readiness to give attention'
'giant', 'cement making newsprint', 'NN', 'NN NN NN', 'a share in a company or business'
'bonds plus accrued', 'date redemption', 'NNS CC JJ', 'NN NN', 'money paid for the use of money'
'banks major stake', 'rates move enormous', 'NNS JJ NN', 'NNS VBP JJ', 'money paid for the use of money'
'making difficult predict', 'rates colony go', 'VBG JJ VB', 'NNS NN VB', 'money paid for the use of money'
'norwegian oil gas', 'sale earlier week', 'JJ NN NN', 'NN RBR NN', 'a share in a company or business'
'field norwegian unit', 'ranging 10 %', 'NN JJ NN', 'VBG AB NN', 'a share in a company or business'
'', 'first year paid', '', 'JJ NN VBN', 'money paid for the use of money'
'thereafter', 'paid annually 7X65', 'RB', 'VBN RB AB', 'money paid for the use of money'
'series 1989 represent', 'trust fund home', 'NN AB VB', 'NN NN NN', 'a share in a company or business'
'mitchell get half', 'oil', 'NP VB NN', 'NN', 'a share in a company or business'
'acquire half brewing', '', 'VB PDT NN', '', 'a share in a company or business'
'budgetary mean public', '', 'JJ VB JJ', '', 'advantage, advancement or favor'
'cover financial instruments', 'rate swaps financial', 'VB JJ NNS', 'NN NNS JJ', 'money paid for the use of money'
'read', 'robert tomsho Xs', 'VBP', 'NP NP POS', 'readiness to give attention'
'', 'taken heart people', '', 'VBN NN NNS', 'advantage, advancement or favor'
'matched similar intellectual', '', 'VBN JJ JJ', '', 'activity, etc. that one gives attention to'
'air-quality standards spurring', 'lighter alternative fuels', 'NN NNS VBG', 'JJR JJ NNS', 'readiness to give attention'
'even year fat', 'payments barely managed', 'RB NN JJ', 'NNS RB VBD', 'money paid for the use of money'
'firmly supports high', 'rates keep inflation', 'RB VBZ JJ', 'NNS VB NN', 'money paid for the use of money'
'refinancing company said', 'debt fall slightly', 'NN NN VBD', 'NN VB RB', 'money paid for the use of money'
'15 % base', 'rates highest eight', 'AB NN NN', 'NNS JJS AB', 'money paid for the use of money'
'convicted charging', 'rates much higher', 'VBN VBG', 'NNS RB JJR', 'money paid for the use of money'
'', 'rates charge often', '', 'NNS VBP RB', 'money paid for the use of money'
'parts company whose', 'include insurance banking', 'NNS NN WP', 'VBP NN NN', 'a share in a company or business'
'2 million year', 'expense', 'AB AB NN', 'NN', 'money paid for the use of money'
'subordinated notes periodic', 'payments', 'JJ NNS JJ', 'NNS', 'money paid for the use of money'
'similar saks Xs', 'idea', 'JJ NP POS', 'NN', 'readiness to give attention'
'federal reserve lower', 'rates coming weeks', 'NP NP VB', 'NNS JJ NNS', 'money paid for the use of money'
'loans variable', 'rates currently 7X74', 'NNS JJ', 'NNS RB AB', 'money paid for the use of money'
'nXt make semiannual', 'payment $ 40', 'RB VB JJ', 'NN NN AB', 'money paid for the use of money'
'corpX nearly missed', 'payment junk bonds', 'NP RB VBD', 'NN NN NNS', 'money paid for the use of money'
'coats first dispose', 'britain Xs domestic', 'NNS RB VB', 'NP POS JJ', 'a share in a company or business'
'uXsX foreign annual', 'rates guide general', 'NP JJ JJ', 'NNS NN JJ', 'money paid for the use of money'
'223X4 million sale', 'computerized reservations partnership', 'AB AB NN', 'JJ NNS NN', 'a share in a company or business'
'includes sale covia', '', 'VBZ NN NP', '', 'a share in a company or business'
